"id","area","name","name_kana","category","line","station","walk","budget","hit","score"
"0056824","京都駅","ロビーラウンジ ","ロビーラウンジ","カフェ","近鉄京都線","京都駅",5,NA,0,NA
"0057602","京都御所・西陣","YAOMON ","ヤオモン","カフェ","京阪本線（鴨東線）","出町柳駅",6,NA,0,NA
"0066335","四条大宮","Mars Cafe ","マーズカフェ","カフェ","京都市営烏丸線","五条（京都市営）駅",10,NA,0,NA
"0069144","四条烏丸・烏丸御池","ウィーンの森 大丸京都店 ","ウィーンノモリダイマルキョウトテン","カフェ","阪急京都本線","烏丸駅",1,NA,4,3
"0069732","二条城","china cafe 百々花 ","チャイナカフェモモカ","カフェ","京福北野線","北野白梅町駅",11,NA,0,NA
"0109692","上賀茂・北山（京都）","CAFE air ","カフェエアー","カフェ","叡山電鉄本線","元田中駅",16,NA,0,NA
"0110327","金閣寺・衣笠","無限洞 ","ムゲンドウ","喫茶店","京福北野線","等持院駅",8,NA,0,NA
"0113944","八幡・京田辺","cafe de Chaton ","カフェデシャトン","カフェ","京阪本線","樟葉駅",24,NA,0,NA
"0114765","向日・長岡京","コーヒーハウスマコ ","コーヒーハウスマコ","喫茶店","ＪＲ東海道本線（米原-神戸）","長岡京駅",3,NA,0,NA
"0114941","二条城","カフェスター ","カフェスター","カフェ","京都市営烏丸線","丸太町（京都市営）駅",14,NA,0,NA
"0121904","京都御所・西陣","喫茶てふてふ ","キッサテフテフ","喫茶店","京都市営烏丸線","丸太町（京都市営）駅",1,NA,0,NA
"0123937","伏見・醍醐","ポポロヒロバ ","ポポロヒロバ","カフェ","京阪本線","藤森駅",3,NA,3,3.83
"0127500","嵐山","喫茶ラリー ","キッサラリー","喫茶店","京福嵐山本線","鹿王院駅",1,NA,0,NA
"0128364","京都御所・西陣","あいすくりん ちべた ","アイスクリンチベタ","スイーツ",NA,NA,NA,NA,0,NA
"0220841","二条城","OAHU 京都西陣本店 ","オアフキョウトニシジンホンテン","スイーツ",NA,NA,NA,NA,7,2.5
"0262124","四条河原町周辺・寺町","ばらの木 ","バラノキ","ティーハウス","阪急京都線","河原町駅",1,1000,2,2.5
"0262303","京都駅","カフェコロラド 京都駅八条口店 ","カフェコロラドキョウトエキハチジョウグチテン","カフェ","近鉄京都線","京都駅",2,NA,0,NA
"0262539","四条河原町周辺・寺町","サロン ド テ リュ ポエム ","サロンドテリュポエム","喫茶店","阪急京都本線","河原町（京都府）駅",1,NA,0,NA
"0263192","八幡・京田辺","＋dog ","プラスドッグ","カフェ",NA,NA,NA,NA,0,NA
"0263248","四条河原町周辺・寺町","珈琲家　あさぬま　高島屋店 ","コーヒーヤアサヌマ","喫茶・軽食","阪急京都本線","河原町（京都府）駅",1,NA,0,NA
"0263546","桂・西京極","cafe kamie ","カフェカミエ","カフェ","京福嵐山本線","嵐電天神川駅",16,NA,0,NA
"0264248","木屋町・先斗町","ambient cafe ","アンビエントカフェ","カフェ","京都市営東西線","二条城前駅",2,NA,0,NA
"0264775","四条大宮","コーヒーショップ WITH ","コーヒーショップウィズ","カフェ","京都市営東西線","二条城前駅",9,NA,0,NA
"0265030","京都駅","UCCカフェメルカード JR京都伊勢丹店 ","ユーシーシーーカフェメルカードジェイアールキョウトイセタンテン","コーヒー","近鉄京都線","京都駅",1,NA,0,NA
"0265201","四条烏丸・烏丸御池","キャンティ ","キャンティ","喫茶店","京都市営烏丸線","烏丸御池駅",4,NA,0,NA
"0265334","二条城","西 ","ニシ","喫茶店","ＪＲ山陰本線（京都-米子）","円町駅",8,NA,0,NA
"1067322","四条烏丸・烏丸御池","AUX BACCHANALES KYOTO ","オーバカナルキョウト","カフェ","京都市営烏丸線","四条（京都市営）駅",1,NA,9,3.25
"1069318","西院","ｃａｆｅ ＥＬＬＥ ＳＩＺＥ ","カフェエルサイズ","カフェ",NA,NA,NA,NA,0,NA
"1072823","木屋町・先斗町","タナカコーヒ 河原町店 ","タナカコーヒカワラマチテン","カフェ","京阪本線","三条（京都府）駅",5,NA,1,3.5
"1073817","四条河原町周辺・寺町","Ｂの階段 ","ビーノカイダン","和カフェレストラン","阪急京都線","河原町駅",2,1200,0,NA
"1074797","四条河原町周辺・寺町","よーじやカフェ 三条店 ","ヨージヤカフェ サンジョウテン","ダイニング＆カフェ","地下鉄東西線","京都市役所前駅",5,2800,22,3.66
"1092141","四条河原町周辺・寺町","CAFE de CRIE 京都四条 ","カフェドクリエキョウトシジョウ","カフェ","阪急京都本線","河原町（京都府）駅",1,NA,0,NA
"1097677","四条河原町周辺・寺町","TOMORROWLAND Salon de the ","トゥモローランドサロンドテ","カフェ","阪急京都本線","河原町駅",1,1080,0,NA
"3116545","四条烏丸・烏丸御池","珈琲蔦家 ","コーヒーツタヤ","珈琲専門店","地下鉄烏丸線","四条駅",5,800,0,NA
"3116757","四条河原町周辺・寺町","カフェ・アンデパンダン ","カフェアンデパンダン","カフェ",NA,NA,NA,1500,1,4
"3116953","金閣寺・衣笠","レモン館 大徳寺店","レモンカン ダイトクジテン","カフェ＆アンティーク","地下鉄烏丸線","北大路駅",15,700,0,NA
"3116961","円山公園・高台寺・清水寺","大谷園茶舗 ","オオタニエンチャホ","甘味",NA,NA,NA,500,0,NA
"3116966","嵐山","至心庵 ","シシンアン","甘味",NA,NA,NA,700,0,NA
"3117041","四条烏丸・烏丸御池","食堂＆カフェ mano a mano ","ショクドウアンドカフェマノアマノ","食堂＆カフェ","阪急京都本線","烏丸駅",8,1500,2,3
"3117307","京都府北部","薬膳喫茶「悠々」 ","ヤクゼンキッサユウユウ","喫茶・軽食",NA,NA,NA,1000,0,NA
"3117326","二条城","町家紅茶館 卯晴 ","マチヤコウチャカンウハル","紅茶専門店",NA,NA,NA,850,1,3
"3117418","宇治","宇治茶道場 匠の館 ","ウジチャドウジョウタクミノヤカタ","日本茶宇治茶カフェ","ＪＲ奈良線","宇治駅",10,600,0,NA
"3117455","木屋町・先斗町","GREEN CAFE STYLE 茶乃逢 ","グリーンカフェスタイルサノア","カフェ",NA,NA,NA,1200,0,NA
"3121089","上賀茂・北山（京都）","yugue ","ユーゲ","カフェ","京阪本線（鴨東線）","出町柳駅",7,NA,0,NA
"5056393","円山公園・高台寺・清水寺","味処 マミ ","アジドコロマミ","和菓子","京阪本線","祇園四条駅",15,NA,1,5
"5056422","祇園","釜座 清水二年坂店 ","カマンザシミズニネンザカテン","喫茶店",NA,NA,NA,NA,0,NA
"5056670","京都駅","ドンピー 新町店 ","ドンピーシンマチテン","喫茶店","ＪＲ奈良線","京都駅",4,NA,0,NA
"5056805","西院","カフェ タンブリング ダイス ","カフェタンブリングダイス","カフェ","京福嵐山本線","西大路三条駅",1,NA,0,NA
"5056918","伏見・醍醐","カフェ＆ランチ 虎虎 ","カフェアンドランチココ","カフェ","近鉄京都線","伏見（京都府）駅",5,NA,0,NA
"5057013","山科","カフェ＆グリル 木船 ","カフェアンドグリルキブネ","カフェ","京都市営東西線","山科駅",1,NA,0,NA
"5057284","宇治","ジョイスポット ","ジョイスポット","カフェ","京阪宇治線","三室戸駅",1,NA,0,NA
"5057311","宇治","松本料理店 ","マツモトリョウリテン","和菓子","京阪宇治線","宇治（京阪線）駅",11,NA,0,NA
