Country,Population,Area,GDP,PPP,GDP_per_capita,PPP_per_capita,G7,G20,OECD,HDI_2018,Polity_Score,Polity_Type,FH_PR,FH_CL,FH_Total,FH_Status
Afghanistan,38928346,652860,19101.35,82736.86,490.679722174685,2125.36283971582,0,0,0,0.496,-1,Closed Anocracy,13,14,27,NF
Albania,2877797,27400,15278.08,39657.88,5308.94986685996,13780.6384536505,0,0,0,0.791,9,Democracy,27,40,67,PF
Algeria,43851044,2381740,169988.24,496572.4,3876.49242740948,11324.072466781,0,0,0,0.759,2,Open Anocracy,10,24,34,NF
Andorra,77265,470,3154.06,,40821.3291917427,,0,0,0,0.857,,,39,55,94,F
Angola,32866272,1246700,94635.42,218533.34,2879.40840993466,6649.16726789093,0,0,0,0.574,-2,Closed Anocracy,11,21,32,NF
Antigua and Barbuda,97929,440,1727.76,2082.68,17642.9862451368,21267.2446364203,0,0,0,0.776,,,33,52,85,F
Argentina,45195774,2736690,449663.45,1036721.13,9949.23662553052,22938.4528296827,0,1,0,0.83,9,Democracy,35,50,85,F
Armenia,2963243,28470,13672.8,38445.96,4614.13390666915,12974.2852678636,0,0,0,0.76,7,Democracy,21,32,53,PF
Australia,25499884,7682300,1392680.59,1275026.6,54615.1735435346,50001.2705940153,0,1,1,0.938,10,Full Democracy,40,57,97,F
Austria,9006398,82409,446314.74,502771.14,49555.29835568,55823.7754982625,0,0,1,0.914,10,Full Democracy,37,56,93,F
Azerbaijan,10139177,82658,48047.65,144556.45,4738.81164122098,14257.2173264161,0,0,0,0.754,-7,Autocracy,2,8,10,NF
Bahamas,393244,10010,12827,14023.92,32618.425201656,35662.1334336951,0,0,0,0.805,,,38,53,91,F
Bahrain,1701575,760,38574.07,74229.74,22669.6266694092,43624.1364618074,0,0,0,0.838,-10,Autocracy,1,10,11,NF
Bangladesh,164689383,130170,302571.25,734107.68,1837.2237753784,4457.52887422014,0,0,0,0.614,-6,Autocracy,15,24,39,PF
Barbados,287375,430,5209,4616.94,18126.1418007829,16065.9069160505,0,0,0,0.813,,,38,57,95,F
Belarus,9449323,202910,63080.46,183460.85,6675.65919801874,19415.2374725681,0,0,0,0.817,-7,Autocracy,5,14,19,NF
Belgium,11589623,30280,529606.71,597433.15,45696.6296487815,51548.9718690591,0,0,1,0.919,8,Democracy,39,57,96,F
Belize,397628,22810,1879.61,2819.41,4727.05644471717,7090.57209250858,0,0,0,0.72,,,35,51,86,F
Benin,12123200,112760,14390.71,37185.97,1187.0389006203,3067.33948132506,0,0,0,0.52,7,Democracy,21,45,66,PF
Bhutan,771608,38117,2446.67,8767.43,3170.87173798094,11362.5441934246,0,0,0,0.617,7,Democracy,29,30,59,PF
Bolivia,11673021,1083300,40895.32,100661.21,3503.40498830594,8623.40691411418,0,0,0,0.703,7,Democracy,25,38,63,PF
Bosnia and Herzegovina,3280819,51000,20047.85,49732.75,6110.62359733957,15158.6387423384,0,0,0,0.769,,,19,34,53,PF
Botswana,2351627,566730,18340.51,40708.02,7799.0727270949,17310.5768899575,0,0,0,0.728,8,Democracy,28,44,72,F
Brazil,212559417,8358140,1839758.04,3131944.31,8655.26480061808,14734.4415702834,0,1,0,0.761,8,Democracy,31,44,75,F
Brunei,437479,5270,13469.42,26535.57,30788.7235730172,60655.6428994306,0,0,0,0.845,,,7,21,28,NF
Bulgaria,6948445,108560,67927.18,156693.06,9775.88222976508,22550.8095696231,0,0,0,0.816,9,Democracy,34,46,80,F
Burkina Faso,20903273,273600,15745.81,37625.51,753.270074021422,1799.98175405354,0,0,0,0.434,6,Democracy,23,33,56,PF
Burma,54409800,653290,76085.85,268326.55,1398.38503357851,4931.58493506684,0,0,0,0.584,8,Democracy,14,16,30,NF
Burundi,11890784,25680,3012.33,8717.63,253.333169621112,733.141733968088,0,0,0,0.423,-1,Closed Anocracy,3,10,13,NF
Cabo Verde,555987,4030,1981.85,3843.4,3564.56176133615,6912.75155714073,0,0,0,0.651,,,38,54,92,F
Cambodia,16718965,176520,27089.39,69253.36,1620.27912613012,4142.20377876262,0,0,0,0.581,-4,Closed Anocracy,5,20,25,NF
Cameroon,26545863,472710,38760.47,93081.44,1460.13222474628,3506.43864921626,0,0,0,0.563,-4,Closed Anocracy,7,11,18,NF
Canada,37742154,9093510,1736425.63,1852669.16,46007.5922004875,49087.5311462086,1,1,1,0.922,10,Full Democracy,40,58,98,F
Central African Republic,4829767,622980,2220.31,4460.31,459.713688051618,923.504177323668,0,0,0,0.381,6,Democracy,4,6,10,NF
Chad,16425864,1259200,11314.95,25057.44,688.849609372146,1525.48687849845,0,0,0,0.401,-2,Closed Anocracy,3,14,17,NF
Chile,19116201,743532,282318.16,463790.23,14768.5285376524,24261.6317959829,0,0,1,0.847,10,Full Democracy,38,52,90,F
China,1447470092,9389291,14762791.84,21967627.68,10199.030654652,15176.5675860334,0,1,0,0.758,-7,Autocracy,-1,11,10,NF
Colombia,50882891,1109500,323802.81,736510.9,6363.6873541639,14474.6276307296,0,0,1,0.761,7,Democracy,29,37,66,PF
Comoros,869601,1861,1185.73,2614.78,1363.53339060098,3006.87326716506,0,0,0,0.538,-3,Closed Anocracy,18,26,44,PF
Congo (Brazzaville),5518087,341500,10820.59,17608.49,1960.93138799733,3191.04972429757,0,0,0,0.609,-4,Closed Anocracy,2,18,20,NF
Congo (Kinshasa),89561403,2267050,47319.62,93456.93,528.348355596886,1043.49560044297,0,0,0,0.459,-3,Closed Anocracy,4,14,18,NF
Costa Rica,5094118,51060,61773.94,98801.2,12126.5231783009,19395.153390636,0,0,0,0.794,10,Full Democracy,38,53,91,F
Cote d'Ivoire,26378274,318000,58792.21,96068.56,2228.81186236825,3641.95777176323,0,0,0,0.516,4,Open Anocracy,19,32,51,PF
Croatia,4105267,55960,60415.55,114931.6,14716.5945601102,27996.1327728501,0,0,0,0.837,9,Democracy,36,49,85,F
