Ranking,Country,HDI,Life_expentancy_at_birth,Expected_yrs_of_schooling,Mean_yrs_of_schooling,GNI_per_capita,,,,,,
1,Norway,0.954,82.3,18.1,12.6,"68,059",,,,,,
2,Switzerland,0.946,83.6,16.2,13.4,"59,375",,,,,,
3,Ireland,0.942,82.1,18.8,12.5,"55,660",,,,,,
4,Germany,0.939,81.2,17.1,14.1,"46,946",,,,,,
5,Australia,0.938,83.3,22.1,12.7,"44,097",,,,,,
6,Iceland,0.938,82.9,19.2,12.5,"47,566",,,,,,
7,Sweden,0.937,82.7,18.8,12.4,"47,955",,,,,,
8,Singapore,0.935,83.5,16.3,11.5,"83,793",,,,,,
9,Netherlands,0.933,82.1,18,12.2,"50,013",,,,,,
10,Denmark,0.93,80.8,19.1,12.6,"48,836",,,,,,
11,Finland,0.925,81.7,19.3,12.4,"41,779",,,,,,
12,Canada,0.922,82.3,16.1,13.3,"43,602",,,,,,
13,New Zealand,0.921,82.1,18.8,12.7,"35,108",,,,,,
14,United Kingdom,0.92,81.2,17.4,13,"39,507",,,,,,
15,United States,0.92,78.9,16.3,13.4,"56,140",,,,,,
16,Belgium,0.919,81.5,19.7,11.8,"43,821",,,,,,
17,Liechtenstein,0.917,80.5,14.7,12.5,"99,732",,,,,,
18,Japan,0.915,84.5,15.2,12.8,"40,799",,,,,,
19,Austria,0.914,81.4,16.3,12.6,"46,231",,,,,,
20,Luxembourg,0.909,82.1,14.2,12.2,"65,543",,,,,,
21,Israel,0.906,82.8,16,13,"33,650",,,,,,
22,South Korea,0.906,82.8,16.4,12.2,"36,757",,,,,,
23,Slovenia,0.902,81.2,17.4,12.3,"32,143",,,,,,
24,Spain,0.893,83.4,17.9,9.8,"35,041",,,,,,
25,Czechia,0.891,79.2,16.8,12.7,"31,597",,,,,,
26,France,0.891,82.5,15.5,11.4,"40,511",,,,,,
27,Malta,0.885,82.4,15.9,11.3,"34,795",,,,,,
28,Italy,0.883,83.4,16.2,10.2,"36,141",,,,,,
29,Estonia,0.882,78.6,16.1,13,"30,379",,,,,,
30,Cyprus,0.873,80.8,14.7,12.1,"33,100",,,,,,
31,Greece,0.872,82.1,17.3,10.5,"24,909",,,,,,
32,Poland,0.872,78.5,16.4,12.3,"27,626",,,,,,
33,Lithuania,0.869,75.7,16.5,13,"29,775",,,,,,
34,United Arab Emirates,0.866,77.8,13.6,11,"66,912",,,,,,
35,Andorra,0.857,81.8,13.3,10.2,"48,641",,,,,,
36,Saudi Arabia,0.857,75,17,9.7,"49,338",,,,,,
37,Slovakia,0.857,77.4,14.5,12.6,"30,672",,,,,,
38,Latvia,0.854,75.2,16,12.8,"26,301",,,,,,
39,Portugal,0.85,81.9,16.3,9.2,"27,935",,,,,,
40,Qatar,0.848,80.1,12.2,9.7,"110,489",,,,,,
41,Chile,0.847,80,16.5,10.4,"21,972",,,,,,
