Code,Name,Zip,Address,Tel
01100,札幌市,060-8611,北海道札幌市中央区北1条西2丁目,011-211-2111
01202,函館市,040-8666,北海道函館市東雲町4-13,0138-21-3111
01203,小樽市,047-8660,北海道小樽市花園2-12-1,0134-32-4111
01204,旭川市,070-8525,北海道旭川市6条通9丁目,0166-26-1111
01205,室蘭市,051-8511,北海道室蘭市幸町1-2,0143-22-1111
01206,釧路市,085-8505,北海道釧路市黒金町7-5,0154-23-5151
01207,帯広市,080-8670,北海道帯広市西5条南7-1,0155-24-4111
01208,北見市,090-8509,北海道北見市大通西3丁目1-1,0157-23-7111
01209,夕張市,068-0492,北海道夕張市本町4-2,0123-52-3131
01210,岩見沢市,068-8686,北海道岩見沢市鳩が丘1-1-1,0126-23-4111
01211,網走市,093-8555,北海道網走市南6条東4丁目,0152-44-6111
01212,留萌市,077-8601,北海道留萌市幸町1-11,0164-42-1801
01213,苫小牧市,053-8722,北海道苫小牧市旭町4-5-6,0144-32-6111
01214,稚内市,097-8686,北海道稚内市中央3-13-15,0162-23-6161
01215,美唄市,072-8660,北海道美唄市西3条南1-1-1,0126-62-3131
01216,芦別市,075-8711,北海道芦別市北1条東1-3,0124-22-2111
01217,江別市,067-8674,北海道江別市高砂町6,011-382-4141
01218,赤平市,079-1192,北海道赤平市泉町4-1,0125-32-2211
01219,紋別市,094-8707,北海道紋別市幸町2-1-18,0158-24-2111
01220,士別市,095-8686,北海道士別市東6条4-1,0165-23-3121
01221,名寄市,096-8686,北海道名寄市大通南1-1,01654-3-2111
01222,三笠市,068-2192,北海道三笠市幸町2,01267-2-3181
01223,根室市,087-8711,北海道根室市常盤町2-27,0153-23-6111
01224,千歳市,066-8686,北海道千歳市東雲町2-34,0123-24-3131
01225,滝川市,073-8686,北海道滝川市大町1-2-15,0125-23-1234
01226,砂川市,073-0195,北海道砂川市西7条北2丁目1-1,0125-54-2121
01227,歌志内市,073-0492,北海道歌志内市字本町5,0125-42-3211
01228,深川市,074-8650,北海道深川市2条17-17,0164-26-2228
01229,富良野市,076-8555,北海道富良野市弥生町1-1,0167-39-2300
01230,登別市,059-8701,北海道登別市中央町6-11,0143-85-2111
01231,恵庭市,061-1498,北海道恵庭市京町1,0123-33-3131
01233,伊達市,052-0024,北海道伊達市鹿島町20-1,0142-23-3331
01234,北広島市,061-1192,北海道北広島市中央4-2-1,011-372-3311
01235,石狩市,061-3292,北海道石狩市花川北6条1-30-2,0133-72-3111
01236,北斗市,049-0192,北海道北斗市中央1-3-10,0138-73-3111
01303,当別町,061-0292,北海道石狩郡当別町白樺町58-9,0133-23-2330
01304,新篠津村,068-1192,北海道石狩郡新篠津村第47線北13,0126-57-2111
01331,松前町,049-1592,北海道松前郡松前町字福山248番地1,0139-42-2275
01332,福島町,049-1392,北海道松前郡福島町字福島820,0139-47-3001
01333,知内町,049-1103,北海道上磯郡知内町字重内21-1,01392-5-6161
01334,木古内町,049-0422,北海道上磯郡木古内町字本町218,01392-2-3131
01337,七飯町,041-1192,北海道亀田郡七飯町本町6丁目1-1,0138-65-2511
01343,鹿部町,041-1498,北海道茅部郡鹿部町字鹿部252番地1,01372-7-2111
01345,森町,049-2393,北海道茅部郡森町字御幸町144-1,01374-2-2181
01346,八雲町,049-3192,北海道二海郡八雲町住初町138,0137-62-2111
01347,長万部町,049-3592,北海道山越郡長万部町字長万部453-1,01377-2-2000
01361,江差町,043-8560,北海道檜山郡江差町字中歌町193-1,0139-52-1020
01362,上ノ国町,049-0698,北海道檜山郡上ノ国町字大留100,0139-55-2311
01363,厚沢部町,043-1113,北海道檜山郡厚沢部町新町207,0139-64-3311
01364,乙部町,043-0103,北海道爾志郡乙部町字緑町388,0139-62-2311
01367,奥尻町,043-1498,北海道奥尻郡奥尻町字奥尻806,01397-2-3111
