"ID","Station_Name","Pref","Zipcode","Address","Longitude","Latitude","Station_Status","Line_ID","Line_Name","Line_Status","Company_ID","Company_Name","Company_Type1","Company_Type2","Company_Status","P2011","P2012","P2013","P2014","P2015","P2016","P2017"
1110101,"函館",1,"040-0063","北海道函館市若松町１２-１３",140.726413,41.773709,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,6138,6316,6154,6008,6230,6740,6190
1110102,"五稜郭",1,"041-0813","函館市亀田本町",140.733539,41.803557,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,4,0,0,0,0,0,0,0,0
1110103,"桔梗",1,"041-0801","北海道函館市桔梗３丁目４１-３６",140.722952,41.846457,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,628,642,656,650,640,640,626
1110104,"大中山",1,"041-1121","亀田郡七飯町大字大中山",140.71358,41.864641,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,186,206,184,170,0,0,0
1110105,"七飯",1,"041-1111","亀田郡七飯町字本町",140.688556,41.886971,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,1070,1160,1180,1122,1146,1044,1028
1110106,"新函館北斗",1,"041-1242","北海道北斗市市渡",140.646525,41.9054,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,0,0,0,0,3660,1424,1266
1110107,"仁山",1,"041-1101","亀田郡七飯町字仁山",140.635183,41.930011,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,14,14,20,18,0,0,0
1110108,"大沼",1,"041-1354","北海道亀田郡七飯町字大沼町４",140.669347,41.971954,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,96,100,178,160,126,156,164
1110109,"大沼公園",1,"041-1354","北海道亀田郡七飯町字大沼町８５",140.669758,41.980958,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,278,244,190,186,204,318,302
1110110,"赤井川",1,"049-2142","茅部郡森町字赤井川",140.642678,42.003267,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,10,8,6,8,0,0,0
1110112,"東山",1,"049-2141","茅部郡森町字駒ケ岳",140.605222,42.06172,2,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,0,0,0,0,0,0,0
1110113,"姫川",1,"049-2306","茅部郡森町字姫川",140.591632,42.081312,2,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,0,0,0,0,0,0,0
1110114,"池田園",1,"041-1352","亀田郡七飯町字軍川",140.700333,41.990692,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,6,2,4,6,0,0,0
1110115,"流山温泉",1,"041-1351","亀田郡七飯町字東大沼２３６",140.716358,42.003483,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,0,0,0,0,0,0,0
1110116,"銚子口",1,"041-1351","亀田郡七飯町字東大沼",140.720656,42.015471,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,8,6,4,0,0,0,0
1110117,"鹿部",1,"041-1404","茅部郡鹿部町字本別",140.771393,42.06439,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,150,124,114,118,0,0,0
1110118,"渡島沼尻",1,"049-2223","茅部郡森町砂原東４丁目",140.747596,42.10706,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,4,4,8,6,0,0,0
1110119,"渡島砂原",1,"049-2222","茅部郡森町砂原４丁目",140.689451,42.12164,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,32,52,52,48,0,0,0
1110120,"掛澗",1,"049-2221","茅部郡森町砂原西３丁目",140.64598,42.119205,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,30,26,24,24,0,0,0
1110121,"尾白内",1,"049-2301","茅部郡森町字尾白内町",140.613449,42.111232,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,0,0,0,0,0,0,0
1110122,"東森",1,"049-2302","茅部郡森町字港町",140.59353,42.106823,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,0,0,0,0,0,0,0
1110123,"森",1,"049-2325","茅部郡森町字本町",140.573846,42.108917,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,574,596,552,536,552,554,556
1110124,"桂川",1,"049-2321","茅部郡森町字鷲ノ木町",140.5427876,42.1156004,2,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,0,0,0,0,0,0,0
1110125,"石谷",1,"049-2464","茅部郡森町字本茅部町",140.506525,42.135519,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,6,4,2,2,0,0,0
1110126,"本石倉",1,"049-2463","茅部郡森町字石倉町",140.471957,42.159668,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,8,10,10,8,0,0,0
1110127,"石倉",1,"049-2463","茅部郡森町字石倉町",140.458436,42.17285,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,8,14,14,12,0,0,0
1110128,"落部",1,"049-2562","二海郡八雲町落部",140.420755,42.187617,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,70,62,60,56,62,0,0
1110129,"野田生",1,"049-2672","二海郡八雲町野田生",140.37586,42.217104,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,46,54,60,52,0,0,0
1110130,"山越",1,"049-2671","二海郡八雲町山越",140.326593,42.231172,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,8,10,8,10,0,0,0
1110131,"八雲",1,"049-3107","二海郡八雲町本町",140.273342,42.253391,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,538,540,500,486,492,442,456
1110132,"鷲ノ巣",1,"049-3122","二海郡八雲町花浦",140.269919,42.278389,2,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,0,0,0,0,0,0,0
1110133,"山崎",1,"049-3342","二海郡八雲町山崎",140.2746,42.314635,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,2,6,4,4,0,0,0
1110134,"黒岩",1,"049-3341","二海郡八雲町黒岩",140.288173,42.368296,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,6,4,6,4,0,0,0
1110135,"北豊津",1,"049-3464","山越郡長万部町字豊津",140.297868,42.400969,2,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,0,0,0,2,0,0,0
1110136,"国縫",1,"049-3462","山越郡長万部町字国縫",140.320885,42.439319,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,20,16,8,8,0,0,0
1110137,"中ノ沢",1,"049-3512","山越郡長万部町字中の沢",140.346077,42.477928,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,2,2,4,6,0,0,0
1110138,"長万部",1,"049-3521","山越郡長万部町字長万部",140.37507,42.512477,0,11101,"JR函館本線(函館～長万部)",0,1,"JR北海道",1,1,0,396,386,352,348,374,328,300
1110202,"二股",1,"049-3501","山越郡長万部町字双葉",140.320821,42.575869,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,4,2,0,0,0,0,0
1110203,"蕨岱",1,"049-3503","山越郡長万部町字蕨岱",140.313353,42.626353,2,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,2,2,0,0,0,0,0
1110204,"黒松内",1,"048-0101","寿都郡黒松内町字黒松内",140.305704,42.669608,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,112,112,114,120,0,0,0
1110205,"熱郛",1,"048-0134","寿都郡黒松内町字白井川",140.375084,42.675653,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,4,2,4,6,0,0,0
1110206,"目名",1,"048-1261","磯谷郡蘭越町目名町",140.465742,42.761432,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,6,6,4,8,0,0,0
1110207,"蘭越",1,"048-1301","磯谷郡蘭越町蘭越町",140.52894,42.804542,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,180,160,184,188,174,154,154
1110208,"昆布",1,"048-1302","磯谷郡蘭越町昆布町",140.596107,42.797984,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,32,30,28,30,0,0,0
1110209,"ニセコ",1,"048-1512","虻田郡ニセコ町字中央通",140.684588,42.808746,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,254,236,278,300,278,198,210
1110210,"比羅夫",1,"044-0077","虻田郡倶知安町比羅夫",140.722615,42.84856,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,2,4,6,4,0,0,0
1110211,"倶知安",1,"044-0051","虻田郡倶知安町北三条西４丁目",140.745471,42.90164,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,996,982,1020,1084,1034,1024,1074
1110212,"小沢",1,"048-2142","岩内郡共和町小沢",140.677657,42.97185,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,32,32,36,34,0,0,0
1110213,"銀山",1,"048-2335","余市郡仁木町銀山２丁目",140.715321,43.040888,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,50,62,66,70,58,0,0
1110214,"然別",1,"048-2403","余市郡仁木町然別",140.737211,43.12551,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,38,38,28,26,0,0,0
1110215,"仁木",1,"048-2405","余市郡仁木町字北町１丁目",140.770546,43.154091,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,152,142,174,160,0,0,0
1110216,"余市",1,"046-0003","余市郡余市町黒川町５丁目",140.794686,43.186558,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,1250,1232,1242,1370,1418,1308,1330
1110217,"蘭島",1,"048-2562","小樽市蘭島１丁目",140.854643,43.19651,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,68,54,56,56,56,0,0
1110218,"塩谷",1,"048-2672","小樽市塩谷２丁目",140.924546,43.202406,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,74,66,76,78,0,0,0
1110219,"小樽",1,"047-0032","小樽市稲穂２丁目",140.993653,43.197172,0,11102,"JR函館本線(長万部～小樽)",0,1,"JR北海道",1,1,0,16964,17384,17572,17576,17946,18112,18796
1110302,"南小樽",1,"047-0015","小樽市住吉町",141.007883,43.186529,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,3526,3478,3556,3556,3504,3606,3874
1110303,"小樽築港",1,"047-0008","小樽市築港",141.029051,43.180752,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,4672,4818,5032,5056,5002,4950,5000
1110304,"朝里",1,"047-0151","小樽市朝里１丁目",141.063923,43.176868,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,556,564,586,620,0,0,0
1110305,"銭函",1,"047-0261","小樽市銭函２丁目",141.159868,43.143403,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,5108,5110,5216,5326,4038,3980,3922
1110306,"ほしみ",1,"006-0859","札幌市手稲区手稲星置１条９丁目",141.191402,43.13373,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,2102,2160,2228,2206,0,0,0
1110307,"星置",1,"006-0851","札幌市手稲区星置１条３丁目",141.210856,43.132375,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,13118,13036,12978,12690,12528,12552,12340
1110308,"稲穂",1,"006-0831","札幌市手稲区曙１条３丁目",141.222919,43.128115,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,1666,1728,1764,1720,0,0,0
1110309,"手稲",1,"006-0021","札幌市手稲区手稲本町１条４丁目",141.243785,43.120238,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,28686,28858,29440,29790,30670,31178,31320
1110310,"稲積公園",1,"006-0011","札幌市手稲区富丘１条４丁目",141.257113,43.112023,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,9882,9988,9900,9656,9624,9602,9514
1110311,"発寒",1,"063-0829","札幌市西区発寒９条１３丁目",141.277273,43.099819,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,8340,8586,8776,8852,8840,9096,9096
1110312,"発寒中央",1,"063-0826","札幌市西区発寒十条３丁目",141.294497,43.089271,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,7328,7574,7860,8012,8258,8434,8660
1110313,"琴似",1,"063-0812","札幌市西区琴似2条2丁目",141.307418,43.081599,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,22688,22624,23002,23088,23036,23354,23384
1110314,"桑園",1,"060-0011","札幌市中央区北１１条西１５丁目",141.332036,43.070744,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,0,0,0,0,0,0,0
1110315,"札幌",1,"060-0806","札幌市北区北６条西４丁目",141.350768,43.068612,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,0,0,0,0,0,0,0
1110316,"苗穂",1,"060-0033","札幌市中央区北３条東１３丁目",141.377522,43.068574,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,7520,7702,7992,8352,8394,8454,8466
1110317,"白石",1,"003-0029","札幌市白石区平和通3丁目北6",141.413612,43.054715,0,11103,"JR函館本線(小樽～旭川)",0,1,"JR北海道",1,1,0,0,0,0,0,0,0,0
