"S_ID","S_Name","L_ID","Pref","Zipcode","Address","Longitude","Latitude","Open","Close","S_Status","C_ID","L_Name","L_Name2","L_Color","L_Color2","L_Status","R_ID","C_Name","C_Name2","C_Name3","C_URL","C_Type","C_Status"
9931601,"あざみ野",99316,14,"225-0011","横浜市青葉区あざみ野２-１-１",139.553694,35.568076,NA,NA,0,130,"ブルーライン","横浜市高速鉄道1号線・3号線",NA,NA,0,99,"横浜市交通局","横浜市交通局","横浜市交通局","http://www.city.yokohama.lg.jp/koutuu/",0,0
3101401,"あすなろう四日市",31014,24,"510-0075","四日市市安島１-１-５６",136.618352,34.966495,NA,NA,0,247,"八王子線","八王子線",NA,NA,0,99,"四日市あすなろう鉄道","四日市あすなろう鉄道株式会社","あすてつ",NA,0,0
9992606,"いづろ通",99926,46,"892-0828","鹿児島市金生町",130.557672,31.591824,NA,NA,0,242,"鹿児島市電２系統","鹿児島市電２系統",NA,NA,0,99,"鹿児島市交通局","鹿児島市交通局","鹿児島市交通局","http://www.kotsu-city-kagoshima.jp/",0,0
1122935,"いわき",11229,7,"970-8026","いわき市平字田町",140.892273,37.058241,NA,NA,0,2,"JR常磐線(取手～いわき)","JR常磐線(取手～いわき)",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0
1123001,"いわき",11230,7,"970-8026","いわき市平字田町",140.892273,37.058241,NA,NA,0,2,"JR常磐線(いわき～仙台)","JR常磐線(いわき～仙台)",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0
9962501,"コスモスクエア",99625,27,"559-0034","大阪市住之江区南港北１-３０-２１",135.412472,34.642888,NA,NA,0,249,"大阪メトロ南港ポートタウン線","大阪市高速電気軌道南港ポートタウン線","00a0de","セルリアンブルー",0,99,"Osaka Metro","大阪市高速電気軌道株式会社","大阪メトロ","http://www.osakametro.co.jp",2,0
3000405,"こどもの国",30004,23,"444-0701","愛知県西尾市東幡豆町御堂前",137.162721,34.788791,NA,NA,0,20,"名鉄蒲郡線","名鉄蒲郡線",NA,NA,0,30,"名古屋鉄道","名古屋鉄道株式会社","名鉄","http://www.meitetsu.co.jp/",2,0
1132305,"さいたま新都心",11323,11,"330-0843","さいたま市大宮区吉敷町４丁目５７番地３",139.633587,35.893867,NA,NA,0,2,"JR高崎線","JR高崎線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0
1133202,"さいたま新都心",11332,11,"330-0843","さいたま市大宮区吉敷町４丁目５７番地３",139.633587,35.893867,NA,NA,0,2,"JR京浜東北線","JR京浜東北線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0
9910307,"さっぽろ",99103,1,"060-0004","札幌市中央区北４条西４",141.350299,43.06637,NA,NA,0,101,"札幌市営地下鉄東豊線","札幌市営地下鉄東豊線",NA,NA,0,99,"札幌市交通局","札幌市交通局","札幌市交通局","http://www.city.sapporo.jp/st/",0,0
