"S_ID","S_Name","L_ID","Pref","Zipcode","Address","Longitude","Latitude","Open","Close","S_Status","C_ID","L_Name","L_Name2","L_Color","L_Color2","L_Status","R_ID","C_Name","C_Name2","C_Name3","C_URL","C_Type","C_Status","NN_Index","Name","Company","Line","TypeS","TypeC","P2011","P2012","P2013","P2014","P2015","P2016","P2017","Diff"
9971136,"JA広島病院前",99711,34,"738-0042","廿日市市地御前１-９９６４",132.322404,34.343959,NA,NA,0,222,"広電２号線(宮島線)","広電２号線(宮島線)",NA,NA,0,99,"広島電鉄","広島電鉄株式会社","広電","http://www.hiroden.co.jp/",0,0,1,"JA広島病院前","広島電鉄","宮島線",12,4,3403,3403,3403,3403,3403,3403,1674,"O"
1161705,"JR三山木",11617,26,"610-0313","京田辺市三山木高飛４番地",135.784578,34.798334,NA,NA,0,4,"学研都市線","JR片町線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,2,"JR三山木","西日本旅客鉄道","片町線",11,2,1484,1586,1613,1676,1800,1866,1899,"O"
1163605,"JR五位堂",11636,29,"639-0226","香芝市五位堂６丁目５５",135.718435,34.527667,NA,NA,0,4,"JR和歌山線","JR和歌山線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,3,"JR五位堂","西日本旅客鉄道","和歌山線",11,2,1521,1493,1448,1444,1484,1526,1567,"O"
1164104,"JR俊徳道",11641,27,"577-0809","大阪府東大阪市永和一丁目24-15",135.572421,34.658372,NA,NA,0,4,"おおさか東線","おおさか東線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,4,"JR俊徳道","西日本旅客鉄道","おおさか東線",11,2,6471,6899,7347,7512,7802,7948,8147,"O"
1161810,"JR小倉",11618,26,"611-0042","宇治市小倉町中畑４８番地１",135.785962,34.889117,NA,NA,0,4,"奈良線","奈良線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,5,"JR小倉","西日本旅客鉄道","奈良線",11,2,3817,3828,3871,3816,3844,3724,3752,"O"
1164103,"JR河内永和",11641,27,"577-0809","大阪府東大阪市永和一丁目1-21",135.572255,34.664717,NA,NA,0,4,"おおさか東線","おおさか東線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,6,"JR河内永和","西日本旅客鉄道","おおさか東線",11,2,10693,11358,11867,11746,12376,12666,12844,"O"
1164111,"JR淡路",11641,27,"533-0022","大阪市東淀川区菅原5丁目11-14",135.519861,34.740694,2019-03-16,NA,0,4,"おおさか東線","おおさか東線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,6767,"淡路","阪急電鉄","千里線",12,4,0,0,0,0,0,0,0,""
1160217,"JR総持寺",11602,27,"567-0806","大阪府茨木市庄一丁目28番55号",135.577778,34.828611,2018-03-17,NA,0,4,"JR京都線","JR東海道本線(京都～大阪)",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,7,"JR総持寺","西日本旅客鉄道","東海道線",11,2,0,0,0,0,0,0,9974,"O"
1161804,"JR藤森",11618,26,"612-0847","京都市伏見区深草大亀谷大山町９９番",135.775695,34.948278,NA,NA,0,4,"奈良線","奈良線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,8,"JR藤森","西日本旅客鉄道","奈良線",11,2,5587,5679,5874,5830,5964,6078,6211,"O"
1164113,"JR野江",11641,27,"536-0006","大阪市城東区野江3丁目29-22",135.541389,34.706944,2019-03-16,NA,0,4,"おおさか東線","おおさか東線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,9441,"野江","京阪電気鉄道","京阪本線",12,4,0,0,0,0,0,12628,10837,""
1164105,"JR長瀬",11641,27,"577-0832","大阪府東大阪市長瀬町三丁目8-41",135.570168,34.649516,NA,NA,0,4,"おおさか東線","おおさか東線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,9,"JR長瀬","西日本旅客鉄道","おおさか東線",11,2,5242,5604,5896,5974,6202,6424,6628,"O"
1160722,"JR難波",11607,27,"556-0017","大阪市浪速区湊町１",135.495265,34.666438,NA,NA,0,4,"大和路線","JR関西本線(加茂～ＪＲ難波)",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,10,"JR難波","西日本旅客鉄道","関西線",11,2,52852,52696,52668,51064,50918,49826,49336,"O"
1123035,"Jヴィレッジ",11230,7,"979-0513","双葉郡楢葉町大字山田岡字下岩沢1番地2",141.0075,37.242583,2019-04-20,NA,0,2,"JR常磐線(いわき～仙台)","JR常磐線(いわき～仙台)",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,5427,"木戸","東日本旅客鉄道","常磐線",11,2,290,290,0,0,0,0,0,""
2700505,"YRP野比",27005,14,"239-0841","横須賀市野比１-９-１",139.685068,35.212229,NA,NA,0,17,"京急久里浜線","京急久里浜線",NA,NA,0,27,"京急電鉄","京浜急行電鉄株式会社","京急","http://www.keikyu.co.jp/",2,0,11,"YRP野比","京浜急行電鉄","久里浜線",12,4,20459,19794,19573,19573,18609,18782,18937,"O"
