"ID","Name","Address","Latitude","Longitude","Line","Station","Walk","Budget","Pref","ScoreN","Score"
"gfs5000","やきとり鷹正","〒286-0033 千葉県成田市花崎町845-1",35.779832,140.315275,"ＪＲ成田線","成田駅","2",3500,"千葉県",0,NA
"a904705","シェラトン・グランデ・トーキョーベイ・ホテル ガレリアカフェ","〒279-0031 千葉県浦安市舞浜1-9 シェラトングランデトーキョーベイ1F",35.626076,139.877432,"ディズニーリゾートライン","ベイサイド駅","5",2000,"千葉県",1,5
"gdv6139","ラーメン山岡家 東金店","〒283-0067 千葉県東金市東上宿字2-27-4",35.554339,140.365499,"ＪＲ東金線","東金駅","11",800,"千葉県",0,NA
"a155008","麺場 田所商店 津田沼店","〒275-0026 千葉県習志野市谷津7-7-1",35.690606,140.018171,"ＪＲ総武線","津田沼駅","3",1000,"千葉県",0,NA
"ggr4700","餃子市場 市川店","〒272-0034 千葉県市川市市川2-32-3",35.731393,139.905289,"ＪＲ総武線","市川駅","6",2500,"千葉県",0,NA
"gdv6131","ラーメン山岡家 千葉中央区店","〒260-0825 千葉県千葉市中央区村田町893-210-1",35.55182,140.125248,"ＪＲ内房線","浜野駅","11",800,"千葉県",0,NA
"a155006","麺場 田所商店 松戸六高台店","〒270-2203 千葉県松戸市六高台1-84",35.794117,139.985616,"新京成線","元山駅","13",900,"千葉県",0,NA
"gdv6135","ラーメン山岡家 野田店","〒278-0021 千葉県野田市堤根7-1",35.93753,139.890179,"東武野田線","梅郷駅","車5",800,"千葉県",0,NA
"gdv6134","ラーメン山岡家 君津店","〒299-1162 千葉県君津市南子安6-24-5",35.32476,139.924597,"ＪＲ内房線","君津駅","車12",800,"千葉県",0,NA
"a105100","家庭料理 章","〒274-0825 千葉県船橋市前原西2-24-5",35.693753,140.024512,"ＪＲ総武線","津田沼駅","7",2500,"千葉県",0,NA
"gf4m607","麺屋 ことぶき ユニモちはら台店","〒290-0143 千葉県市原市ちはら台西3-4 ユニモちはら台2F",35.528018,140.171717,"京成千原線","ちはら台駅","7",800,"千葉県",0,NA
"gdv6142","ラーメン山岡家 千葉佐倉店","〒285-0000 千葉県佐倉市寺崎特定土地区画整理地内12街区3-2",35.713633,140.219178,"ＪＲ","佐倉駅","13",800,"千葉県",0,NA
"e102703","麺場 田所商店 成田店","〒286-0013 千葉県成田市美郷台1-11-2",35.791017,140.309469,"ＪＲ成田線","成田駅","車10",1000,"千葉県",0,NA
"gfzp867","TOKYO豚骨BASE MADE by 一風堂","〒282-0004 千葉県成田市古込 成田国際空港第2ターミナル4F",35.773585,140.388305,"ＪＲ成田線","空港第2ビル駅","5",1200,"千葉県",0,NA
"gf4m605","麺屋 ことぶき 千葉店","〒260-0013 千葉県千葉市中央区中央1-2-11",35.61083,140.121861,"ＪＲ","千葉駅","5",800,"千葉県",0,NA
"gdv6137","ラーメン山岡家 東千葉店","〒260-0041 千葉県千葉市中央区東千葉3-14-25",35.626898,140.126664,"京葉道路","穴川I.C.","車5",800,"千葉県",0,NA
"gfzp868","T’s たんたん","〒282-0004 千葉県成田市古込 成田国際空港第2ターミナル4F",35.773585,140.388305,"ＪＲ成田線","空港第2ビル駅","5",1500,"千葉県",0,NA
"gdv6136","ラーメン山岡家 八千代店","〒276-0008 千葉県八千代市神久保150-1",35.771347,140.095101,"北総鉄道北総線","小室駅","車7",800,"千葉県",1,3.5
"a446412","ラーメン 嘉祥","〒273-0031 千葉県船橋市西船4-29-9",35.707613,139.960581,"ＪＲ","西船橋駅","1",800,"千葉県",0,NA
"gbzs600","小料理 樹林","〒278-0037 千葉県野田市野田125",35.942546,139.87072,"東武野田線（東武アーバンパークライン）","野田市駅","1",3000,"千葉県",0,NA
"a155007","麺場 田所商店 松戸二十世紀が丘店","〒271-0086 千葉県松戸市二十世紀が丘萩町232",35.768729,139.906624,"北総鉄道北総線","北国分駅","12",900,"千葉県",0,NA
"e493256","兎に角 柏高島屋ステーションモール店","〒277-8550 千葉県柏市末広町1-1 柏高島屋ステーションモール新館10F",35.862175,139.969667,"ＪＲ常磐線","柏駅","1",1000,"千葉県",0,NA
"gf0u503","神豚","〒276-0008 千葉県八千代市神久保75-14",35.773128,140.091996,"東葉高速線","八千代緑が丘駅","車10",900,"千葉県",0,NA
"gdv6129","ラーメン山岡家 柏店","〒277-0871 千葉県柏市若柴143-1",35.893727,139.958406,"つくばエクスプレス","柏の葉キャンパス駅","車3",800,"千葉県",0,NA
"gfzp801","2サテ アビオン 成田空港第1ターミナル店","〒282-0004 千葉県成田市古込成田国際空港 第1ターミナル3F",35.760626,140.38534,"ＪＲ成田線","成田空港駅","10",1500,"千葉県",0,NA
"gdv6138","ラーメン山岡家 成田飯仲店","〒286-0046 千葉県成田市飯仲11",35.757301,140.302561,"京成本線","公津の杜駅","11",800,"千葉県",0,NA
"gbec500","麺屋こうじ","〒277-0852 千葉県柏市旭町1-4-15",35.862399,139.96814,"東武野田線（東武アーバンパークライン）","柏駅","3",880,"千葉県",5,3.7
"gge9501","ラーメンの柵柵","〒260-0021 千葉県千葉市中央区新宿1-10-12",35.604465,140.113882,"京成千原線","千葉中央駅","8",1000,"千葉県",0,NA
"e102704","麺場 田所商店 佐倉店","〒285-0926 千葉県印旛郡酒々井町本佐倉8-4",35.720166,140.263719,"ＪＲ成田線","酒々井駅","24",1000,"千葉県",0,NA
"ggsw400","麺ダイニング山壱","〒276-0033 千葉県八千代市八千代台南1-11-9",35.699524,140.089213,"京成本線","八千代台駅","3",1000,"千葉県",0,NA
"e102702","麺場 田所商店 印西千葉ニュータウン店","〒270-1337 千葉県印西市草深1101-24",35.806152,140.139463,"成田スカイアクセス線・北総鉄道北総線","千葉ニュータウン中央駅","車8",900,"千葉県",0,NA
"gdv6141","ラーメン山岡家 千葉鎌ケ谷店","〒273-0107 千葉県鎌ケ谷市新鎌ケ谷3-3-6",35.778141,140.002109,"東武野田線（東武アーバンパークライン）","新鎌ヶ谷駅","8",800,"千葉県",0,NA
"gdv6130","ラーメン山岡家 成田店","〒286-0021 千葉県成田市ウィング土屋68",35.794478,140.319177,"ＪＲ成田線","成田駅","車11",800,"千葉県",0,NA
"ge0f700","香港ダイニング 昇龍苑 勝田台本店","〒276-0023 千葉県八千代市勝田台1-7-1",35.714761,140.125828,"京成本線","勝田台駅","1",1400,"千葉県",0,NA
"gga6200","麺屋 鶏まる","〒290-0081 千葉県市原市五井中央西2-2-4 1F",35.513952,140.089495,"ＪＲ","五井駅","1",1300,"千葉県",0,NA
"gdv6133","ラーメン山岡家 千葉花見川区店","〒262-0007 千葉県千葉市花見川区大日町1379-2",35.684037,140.128208,"東関東自動車道","千葉北I.C.","車4",800,"千葉県",0,NA
"gfzp826","1サテ アビオン 成田空港第1ターミナル店","〒282-0004 千葉県成田市古込成田国際空港 第1ターミナル3F",35.766898,140.384208,"ＪＲ成田線","成田空港駅","10",1500,"千葉県",0,NA
"gfzp805","成葉軒 成田空港第1ターミナル店","〒282-0004 千葉県成田市古込成田国際空港 第1ターミナル5F",35.764219,140.383497,"ＪＲ成田線","成田空港駅","7",2000,"千葉県",0,NA
