"ID","Name","Address","Latitude","Longitude","Line","Station","Walk","Budget","Pref","ScoreN","Score"
"e592803","北京ダック専門店 王朝","〒231-0023 神奈川県横浜市中区山下町78-6",35.443842,139.647308,"みなとみらい線","元町・中華街駅","2",1200,"神奈川県",8,3.375
"ggw6800","ebisu食堂 センター北店","〒224-0003 神奈川県横浜市都筑区中川中央1-22-9 TSビルディング3F",35.551382,139.578234,"横浜市営地下鉄","センター北駅","3",1000,"神奈川県",0,NA
"geef000","塩麺屋 錦太朗","〒238-0011 神奈川県横須賀市米が浜通1-18",35.277356,139.674786,"京急本線","横須賀中央駅","8",800,"神奈川県",0,NA
"gfg1002","元祖ニュータンタンメン本舗 綱島店","〒223-0053 神奈川県横浜市港北区綱島西1-7-11 みなみ綱島ビル1F",35.536511,139.633732,"東急東横線","綱島駅","5",1000,"神奈川県",0,NA
"p879913","しゃぶしゃぶ温野菜 京急川崎駅前店","〒210-0007 神奈川県川崎市川崎区駅前本町10-5 クリエ川崎ビル2F",35.531953,139.699432,"京急本線","京急川崎駅","1",3500,"神奈川県",0,NA
"gg4d600","ラーメン山虎商店 白楽店","〒221-0802 神奈川県横浜市神奈川区六角橋1-11-16",35.487299,139.625841,"東急東横線","白楽駅","3",1000,"神奈川県",1,4.5
"p879914","しゃぶしゃぶ温野菜 センター北店","〒224-0003 神奈川県横浜市都筑区中川中央1-1-3 ショッピングタウンあいたい3F",35.553411,139.577954,"横浜市営地下鉄","センター北駅","1",3000,"神奈川県",0,NA
"p879919","しゃぶしゃぶ温野菜 横須賀モアーズシティ店","〒238-0007 神奈川県横須賀市若松町2-30 横須賀モアーズシティ9F",35.278044,139.670534,"京急本線","横須賀中央駅","1",3500,"神奈川県",0,NA
"ganu906","かれー麺 実之和 湘南平塚店","〒254-0025 神奈川県平塚市榎木町2-15 1F",35.3322,139.359748,"ＪＲ東海道本線","平塚駅","16",1000,"神奈川県",0,NA
"ge3t400","串焼 ちゃぼ蔵","〒221-0822 神奈川県横浜市神奈川区西神奈川1-6-1 サクラピア駐車場ビルB1",35.478496,139.632043,"ＪＲ","東神奈川駅","1",3500,"神奈川県",0,NA
"gew9800","啜磨専科","〒233-0002 神奈川県横浜市港南区上大岡西2-14-15",35.404268,139.593725,"横浜市営地下鉄","上大岡駅","5",900,"神奈川県",0,NA
"g670609","横浜ベイシェラトン ホテル＆タワーズ 中国料理 彩龍","〒220-0004 神奈川県横浜市西区北幸1-3-23",35.466813,139.620154,"ＪＲ","横浜駅","1",8000,"神奈川県",0,NA
"geg3634","アジアンビストロ Dai 日吉店","〒223-0062 神奈川県横浜市港北区日吉本町1-20-8",35.553331,139.645598,"東急東横線","日吉駅","2",3500,"神奈川県",0,NA
"gfm2401","横浜家系ラーメン だるま家 逗子店","〒249-0006 神奈川県逗子市逗子1-8-1 1F",35.295359,139.577948,"ＪＲ横須賀線","逗子駅","3",800,"神奈川県",0,NA
"g262208","焼肉本舗  ぴゅあ マルイ溝口店","〒213-0001 神奈川県川崎市高津区溝口1-4-1 マルイファミリー溝口10F",35.599034,139.612906,"東急田園都市線","溝の口駅","3",4000,"神奈川県",6,3
"e786905","串車力 武蔵小杉店","〒211-0005 神奈川県川崎市中原区新丸子町915-42 1F",35.57792,139.660504,"ＪＲ南武線","武蔵小杉駅","3",2000,"神奈川県",0,NA
"gbr3500","めん屋 生竜","〒259-0124 神奈川県中郡二宮町山西214-2",35.294056,139.246803,"ＪＲ東海道本線","二宮駅","15",1200,"神奈川県",8,3.33333333333333
"gfr9701","Dream タピオカ専門店","〒238-0008 神奈川県横須賀市大滝町2-20",35.280874,139.669074,"京急本線","横須賀中央駅","2",500,"神奈川県",0,NA
"genb700","麺処 懐や","〒216-0004 神奈川県川崎市宮前区鷺沼3-3-12",35.579679,139.57169,"東急田園都市線","鷺沼駅","2",750,"神奈川県",1,3.5
"gdv6155","ラーメン山岡家 相模原店","〒252-0243 神奈川県相模原市中央区上溝4089-2",35.562947,139.346537,"ＪＲ相模線","上溝駅","車7",800,"神奈川県",3,4
"gfg1000","元祖ニュータンタンメン本舗 京町店","〒210-0848 神奈川県川崎市川崎区京町1-18-7",35.517292,139.695226,"ＪＲ南武線","川崎新町駅","6",1000,"神奈川県",0,NA
"gfg1004","元祖ニュータンタンメン本舗 鶴見店","〒230-0062 神奈川県横浜市鶴見区豊岡町18-9",35.50947,139.676157,"ＪＲ","鶴見駅","2",1000,"神奈川県",0,NA
"getw209","ゴル麺。 横浜本店","〒220-0005 神奈川県横浜市西区南幸2-18-1",35.463894,139.615784,"横浜市営地下鉄","横浜駅","6",880,"神奈川県",0,NA
"gbu5100","らぁ麺屋飯田商店","〒259-0303 神奈川県足柄下郡湯河原町土肥2-12-14",35.144636,139.109731,"ＪＲ東海道本線","湯河原駅","7",1100,"神奈川県",4,4.375
"gfg1003","元祖ニュータンタンメン本舗 鷺沼店","〒216-0004 神奈川県川崎市宮前区鷺沼3-1-36",35.578518,139.572684,"東急田園都市線","鷺沼駅","2",1000,"神奈川県",0,NA
"p585800","松虎亭","〒213-0001 神奈川県川崎市高津区溝口2-9-10",35.600528,139.611144,"ＪＲ南武線","武蔵溝ノ口駅","1",750,"神奈川県",0,NA
"gdv6154","ラーメン山岡家 厚木店","〒243-0804 神奈川県厚木市関口408-4",35.488321,139.364899,"ＪＲ相模線","相武台下駅","車9",800,"神奈川県",0,NA
"gf69600","無添加自家製麺 つじ道ラーメン","〒251-0047 神奈川県藤沢市辻堂1-3-26",35.336556,139.448578,"ＪＲ東海道本線","辻堂駅","1",1000,"神奈川県",0,NA
"g172011","西安健菜キッチン 茅ヶ崎ラスカ店","〒253-0043 神奈川県茅ヶ崎市元町1-1 茅ヶ崎ラスカ6F",35.330502,139.405997,"ＪＲ東海道本線","茅ヶ崎駅","1",2500,"神奈川県",0,NA
"gery901","伍代目哲麺縁 平塚金目店","〒259-1213 神奈川県平塚市片岡416",35.359576,139.299922,"小田原厚木道路","平塚I.C.","車5",850,"神奈川県",0,NA
"e525114","Roto Brewery，麺や 天空","〒233-0001 神奈川県横浜市港南区上大岡東2-42-14 1F",35.404524,139.5977,"横浜市営地下鉄","上大岡駅","6",1980,"神奈川県",0,NA
"geu7600","煮干しそば 平八","〒238-0011 神奈川県横須賀市米が浜通1-17",35.277488,139.674432,"京急本線","横須賀中央駅","6",1000,"神奈川県",0,NA
"gbh2900","ShiNaChiKu亭","〒221-0825 神奈川県横浜市神奈川区反町2-15-14 ヒルトップ反町ビル1F",35.476093,139.627578,"ＪＲ","東神奈川駅","10",900,"神奈川県",3,3.33333333333333
"gd5u804","麺屋 銀星 海美風 海老名店","〒243-0485 神奈川県海老名市中央1-4-1 ビナウォーク6番館1F",35.452711,139.395606,"小田急小田原線","海老名駅","6",1000,"神奈川県",0,NA
"gfxn700","横濱家系ラーメン勝鬨家","〒231-0033 神奈川県横浜市中区長者町2-5-4 1F",35.438758,139.635594,"横浜市営地下鉄","伊勢佐木長者町駅","4",999,"神奈川県",0,NA
"gdv6156","ラーメン山岡家 平塚店","〒254-0018 神奈川県平塚市東真土2-8-5",35.35634,139.357252,"東名高速道路","厚木I.C.","車15",800,"神奈川県",0,NA
"gfg1005","元祖ニュータンタンメン本舗 横浜店","〒220-0005 神奈川県横浜市西区南幸2-11-7 横浜西口藤澤ビル1F",35.463136,139.616593,"ＪＲ","横浜駅","6",1000,"神奈川県",0,NA
"g370003","担担麺・麻婆豆腐 匠 Jang","〒220-0011 神奈川県横浜市西区高島2-16 B1",35.464537,139.623364,"ＪＲ","横浜駅","1",1100,"神奈川県",0,NA
"7723640","まるは担々麺","〒221-0002 神奈川県横浜市神奈川区大口通67-2 ",35.492094,139.645427,"","","",800,"神奈川県",0,NA
"6155289","久留米らーめん 鐡釜","〒238-8533 神奈川県横須賀市若松町2-30 横須賀モアーズシティ",35.278332,139.670067,"京急本線","横須賀中央駅","徒歩1",900,"神奈川県",11,3.31818181818182
"6913347","飯処 たまはん","〒254-0052 神奈川県平塚市平塚5-1-19 1F",35.330314,139.334611,"ＪＲ東海道本線","平塚駅","車5",2500,"神奈川県",5,4.9
