"ID","Name","Address","Latitude","Longitude","Line","Station","Walk","Budget","Pref","ScoreN","Score"
"kczs500","中国料理 鳳麟","〒612-8411 京都府京都市伏見区竹田久保町62-1-2 足立ハイツ1F",34.962431,135.76131,"地下鉄烏丸線","くいな橋駅","6",2999,"京都府",0,NA
"k002709","黒毛和牛一頭買い焼肉と 炊き立て土鍋ご飯 市場小路 烏丸店","〒600-8008 京都府京都市下京区四条烏丸東入ル長刀鉾町8 京都三井ビルB1",35.004063,135.759961,"地下鉄烏丸線","四条駅","1",4500,"京都府",26,3.19230769230769
"c940100","京の中華 ハマムラ みやこみち店","〒600-8215 京都府京都市下京区東塩小路釜殿町31-1 近鉄名店街内",34.98462,135.757446,"ＪＲ","京都駅","2",1500,"京都府",0,NA
"ka87105","焼肉処 真 桂店","〒615-8232 京都府京都市西京区御陵南荒木町7-12",34.978003,135.693692,"阪急京都線","桂駅","15",4000,"京都府",0,NA
"kczz401","祇園京都ラーメン","〒605-0078 京都府京都市東山区八坂新地富永町116 三幸園ビル1F",35.004509,135.775019,"京阪本線","祇園四条駅","4",1000,"京都府",0,NA
"k132123","創作料理 串カツ トンカツ jiro","〒610-0334 京都府京田辺市田辺中央1-3-5",34.820392,135.771264,"近鉄京都線","新田辺駅","1",3000,"京都府",0,NA
"kbby402","祇園 晩餐のあと","〒605-0085 京都府京都市東山区大和大路通四条通上ル富永町112 キャッスルギオンビル1F",35.004488,135.774593,"京阪本線","祇園四条駅","4",3500,"京都府",0,NA
"kcdk803","DETAIL","〒605-0034 京都府京都市東山区中之町210-4",35.009601,135.784594,"地下鉄東西線","東山駅","5",1000,"京都府",0,NA
"kc9d502","めんや龍神","〒606-0827 京都府京都市左京区下鴨西半木町88",35.043697,135.766409,"地下鉄烏丸線","北大路駅","8",1000,"京都府",0,NA
"kcsz200","無尽蔵 京都八条家","〒601-8417 京都府京都市南区西九条鳥居口町1 イオンモールKYOTO4F",34.98285,135.755828,"ＪＲ","京都駅","5",1000,"京都府",2,3.5
"7615794","山角や楼","〒604-8804 京都府京都市中京区壬生坊城町24-3 第二正美堂ビル1F",35.003788,135.744947,"阪急京都線","大宮駅","徒歩3",800,"京都府",2,NA
"6003850","四季萬膳 はなはな","〒604-8381 京都府京都市中京区西ノ京職司町26-12 アパル御池1F",35.010921,135.743101,"ＪＲ","二条駅","徒歩1",3000,"京都府",0,NA
"7377118","一蘭 京都河原町店","〒604-8041 京都府京都市中京区蛸薬師通新京極東入裏寺町598 蛸薬師OKIビル1F",35.005816,135.768065,"阪急京都線","河原町駅","徒歩3",800,"京都府",2,3.75
"6122196","かんばやし の","〒623-1131 京都府綾部市睦寄町庄32 ",35.371861,135.446309,"ＪＲ山陰本線","綾部駅","車30",1000,"京都府",0,NA
"6544093","ラーメン 喝采","〒612-0025 京都府京都市伏見区深草キトロ町27 ",34.957944,135.768454,"京阪本線","藤森駅","徒歩4",800,"京都府",2,3
"7667059","一蘭 京都烏丸店","〒600-8006 京都府京都市下京区立売中之町102-3 ミュ-ズ389 京都ビル2F",35.004014,135.763678,"","","",1000,"京都府",0,NA
"7014197","ミスター・ギョーザ","〒601-8464 京都府京都市南区唐橋高田町42 ",34.97954,135.741538,"ＪＲ京都線","西大路駅","徒歩10",1500,"京都府",8,4.0625
"7404720","麺ビストロ Nakano","〒604-8226 京都府京都市中京区西錦小路町269 松広ビル1F",35.004923,135.756519,"阪急京都線","烏丸駅","徒歩5",1000,"京都府",1,3
"7268948","麺屋 七福神 堀川御池店","〒604-0054 京都府京都市中京区押堀町45-1 ",35.011259,135.752286,"地下鉄東西線","二条城前駅","徒歩3",1000,"京都府",0,NA
"7377582","鶏がら らーめん門扇 伏水酒蔵店","〒612-8057 京都府京都市伏見区平野町82-2 ",34.932407,135.760496,"近鉄京都線","桃山御陵前駅","徒歩7",2000,"京都府",0,NA
"7010519","濃厚麺 楽楽楽","〒606-8391 京都府京都市左京区聖護院西町18-11 内外ビル1F",35.020114,135.778665,"京阪鴨東線","神宮丸太町駅","徒歩10",750,"京都府",0,NA
"7747236","らーめん鱗 京都三条店","〒604-8074 京都府京都市中京区朝倉町527-4 ",35.008106,135.764913,"","","",1000,"京都府",0,NA
"7377116","一蘭 京都八幡店","〒614-8054 京都府八幡市八幡南山106-3 ",34.853171,135.704683,"京阪本線","樟葉駅","車16",800,"京都府",3,4
"7384327","麺毅家 京都河原町店","〒604-8041 京都府京都市中京区蛸薬師通新京極東入裏寺町595 ",35.006248,135.767996,"阪急京都線","河原町駅","徒歩4",700,"京都府",0,NA
"7398382","旬菜・鮮魚 けんしょう","〒616-8101 京都府京都市右京区太秦和泉式部町5-3 ",35.017524,135.713721,"ＪＲ嵯峨野線","花園駅","徒歩6",2500,"京都府",0,NA
"6897662","中華料理 清華園","〒600-8202 京都府京都市下京区川端町11 ",34.987272,135.766167,"ＪＲ","京都駅","徒歩10",1500,"京都府",3,5
"7596940","まがり","〒619-0214 京都府木津川市川原田33-3 ",34.733561,135.822144,"","","",874,"京都府",2,4
"7160764","博多一幸舎 京都拉麺小路店","〒600-8555 京都府京都市下京区丸通塩小路901 京都ビル京都拉麺小路",34.985703,135.758226,"ＪＲ","京都駅","徒歩1",1000,"京都府",3,2.33333333333333
"7397980","麺彩 さくら食堂","〒604-8437 京都府京都市中京区西ノ京東中合町34 ",35.011894,135.73161,"地下鉄東西線","西大路御池駅","徒歩1",800,"京都府",5,3.25
"7212414","らーめん なか房","〒612-8401 京都府京都市伏見区深草下川原町125-1 小堀マンション",34.965836,135.762113,"地下鉄烏丸線","くいな橋駅","徒歩10",800,"京都府",0,NA
"7465904","福門","〒612-0029 京都府京都市伏見区深草西浦町6-77 ",34.958592,135.766697,"京阪本線","藤森駅","徒歩8",900,"京都府",0,NA
"6272779","魁力屋 北山店","〒603-8424 京都府京都市北区紫竹下芝本町61 ",35.049645,135.750418,"地下鉄烏丸線","北大路駅","徒歩13",900,"京都府",2,4.25
"7401920","からこラーメン","〒606-8351 京都府京都市左京区岡崎徳成町12-3 ",35.0139,135.778185,"地下鉄東西線","東山駅","徒歩8",1000,"京都府",0,NA
"7481825","ラーメン横綱 三条河原町店","〒604-8031 京都府京都市中京区大黒町31 三条館1・2F",35.008648,135.768546,"阪急京都線","河原町駅","徒歩10",800,"京都府",0,NA
"6895198","もつ鍋 亀八 山科店","〒607-8080 京都府京都市山科区竹鼻竹ノ街道町65-1 ",34.990615,135.816015,"ＪＲ","山科駅","徒歩5",3500,"京都府",0,NA
"7398544","大和桜花爛漫","〒605-0846 京都府京都市東山区五条橋東6-583-34 ",34.995835,135.779876,"京阪本線","祇園四条駅","徒歩20",800,"京都府",0,NA
"7492165","ラーメンムギュ vol．1","〒604-8463 京都府京都市中京区西ノ京円町22-10 ",35.018974,135.732063,"ＪＲ嵯峨野線","円町駅","徒歩3",1000,"京都府",0,NA
"7268950","麺屋 七福神 四条大宮店","〒604-8804 京都府京都市中京区壬生坊城町15 葵ビル1F",35.00379,135.746329,"阪急京都線","大宮駅","徒歩5",1000,"京都府",0,NA
"6898454","麺や 笑門","〒603-8234 京都府京都市北区紫野下若草町28-1 メゾン紫野1F",35.041319,135.740742,"地下鉄烏丸線","北大路駅","徒歩25",850,"京都府",0,NA
"6895756","とんこつらぁ麺 嘉晴","〒604-8375 京都府京都市中京区西ノ京池ノ内町6-7 ",35.00862,135.74582,"ＪＲ嵯峨野線","二条駅","徒歩6",750,"京都府",0,NA
"6390852","和牛炭火焼肉ノぶる","〒604-8811 京都府京都市中京区壬生賀陽御所町27-5 ",35.002126,135.746073,"阪急京都線","大宮駅","徒歩5",4000,"京都府",0,NA
"7384192","大中BAL横店","〒604-8021 京都府京都市中京区北車屋町276-28 ",35.006443,135.769796,"","","",700,"京都府",7,4.1
"5296022","麺倶楽亭マイン峰山店","〒627-0005 京都府京丹後市峰山町新町1606-1 ショッピングセンターマイン1階",35.608266,135.082715,"京都丹後鉄道宮豊線","峰山駅","車10",800,"京都府",0,NA
"7073027","鶏谷","〒615-0066 京都府京都市右京区西院四条畑町1-22 ",35.003671,135.723897,"京福嵐山本線","山ノ内（京都府）駅","徒歩8",NA,"京都府",0,NA
