"ID","Name","Address","Latitude","Longitude","Line","Station","Walk","Budget","Pref","ScoreN","Score"
"kc3y600","創作中華料理 えにし","〒636-0002 奈良県北葛城郡王寺町王寺2-7-20 王寺アルファビル1F",34.596118,135.705674,"ＪＲ","王寺駅","3",2500,"奈良県",0,NA
"kaz0400","麺屋 一徳","〒632-0016 奈良県天理市川原城町372-2",34.598621,135.836027,"近鉄天理線","天理駅","7",750,"奈良県",1,3
"k137404","つけめん・らーめん 元喜神","〒630-8216 奈良県奈良市東向南町26",34.682647,135.828512,"近鉄奈良線","近鉄奈良駅","3",800,"奈良県",0,NA
"6913439","焼き鳥　軽食　とり政","〒636-0054 奈良県北葛城郡河合町大字穴闇497-25 ",34.581726,135.73246,"","","",1500,"奈良県",0,NA
"7323307","ラーメン 豚まる","〒630-8115 奈良県奈良市大宮町6-7-1 ",34.685359,135.809322,"近鉄奈良線","新大宮駅","徒歩3",900,"奈良県",0,NA
"7498912","河童ラーメン本舗 香芝店","〒639-0266 奈良県香芝市旭ヶ丘1-26-2 ",34.555064,135.699863,"ＪＲ和歌山線","志都美駅","徒歩12",850,"奈良県",0,NA
"7003891","さやか","〒630-8115 奈良県奈良市大宮町3-105-1 オオオクビル1F",34.682607,135.813274,"ＪＲ","奈良駅","徒歩10",3000,"奈良県",0,NA
"7568406","麺屋龍 新大宮店","〒630-8115 奈良県奈良市大宮町6丁目1-2 豊田ビル1F",34.684745,135.811773,"","","",1000,"奈良県",0,NA
"7007954","ベジタリアンレストラン 喜菜亭","〒630-8357 奈良県奈良市杉ヶ町25-1 ",34.677735,135.820849,"ＪＲ","奈良駅","徒歩4",1500,"奈良県",0,NA
"7631996","MENYA MOKUMOKU","〒631-0827 奈良県奈良市西大寺小坊町1-25 MOKUMOKU NO KUNI",34.694542,135.780952,"","","",850,"奈良県",0,NA
"7435261","煮干し中華そば 長田屋","〒630-8226 奈良県奈良市小西町5 アルテ館1F",34.683001,135.828312,"ＪＲ","奈良駅","徒歩15",850,"奈良県",0,NA
"7498937","河童ラーメン本舗 橿原店","〒634-0007 奈良県橿原市葛本町不経堂201-1 ",34.528332,135.796381,"近鉄橿原線","新ノ口駅","徒歩5",950,"奈良県",0,NA
"7499048","河童ラーメン本舗 天理店","〒632-0084 奈良県天理市嘉幡町548-8 ",34.589989,135.798319,"近鉄天理線","二階堂駅","徒歩20",950,"奈良県",0,NA
"7499054","河童ラーメン本舗 天理工場店","〒632-0046 奈良県天理市三昧田町136-3 ",34.582547,135.837719,"ＪＲ桜井線","長柄駅","徒歩17",950,"奈良県",0,NA
"7391267","麺屋 龍","〒630-8246 奈良県奈良市油阪地方町11 上原梅月堂ビル1F",34.682121,135.820836,"","","",750,"奈良県",1,4
"7499455","河童ラーメン本舗 押熊店","〒631-0011 奈良県奈良市押熊町2145-4 ",34.718688,135.764426,"近鉄けいはんな線","学研奈良登美ヶ丘駅","徒歩28",950,"奈良県",1,4
"7499051","河童ラーメン本舗 桜井店","〒633-0068 奈良県桜井市東新堂488-1 ",34.522997,135.830582,"近鉄大阪線","大福駅","徒歩17",1000,"奈良県",0,NA
"5184846","ちょこっと 王寺駅前店","〒636-0003 奈良県北葛城郡王寺町久度3-5-1 駒谷ビル",34.598,135.702508,"ＪＲ","王寺駅","徒歩1",1500,"奈良県",0,NA
