"ID","Name","Address","Latitude","Longitude","Line","Station","Walk","Budget","Pref","ScoreN","Score"
"k191209","肉処 倉 寝屋川店","〒572-0087 大阪府寝屋川市木屋町13-28",34.789127,135.623965,"京阪本線","香里園駅","15",4500,"大阪府",0,NA
"c608801","ぢどり亭 阪急茨木店","〒567-0816 大阪府茨木市永代町7-22",34.818108,135.575591,"阪急京都線","茨木市駅","2",2800,"大阪府",1,NA
"kdm2400","つけ麺 ダイニング 麺一 HAJIME","〒586-0009 大阪府河内長野市木戸西町3-1-10 小坂ビル1F",34.466875,135.563615,"南海高野線","千代田駅","5",1000,"大阪府",0,NA
"kcse100","つけ麺屋やすべえ 道頓堀店","〒542-0085 大阪府大阪市中央区心斎橋筋2-4-4 日総四国ビル1F",34.669297,135.50074,"地下鉄御堂筋線","なんば駅","2",1000,"大阪府",1,NA
"kbxc400","中国料理 朱鷺 枚方店","〒573-0028 大阪府枚方市川原町5-13 川原ビル1F",34.815104,135.652605,"京阪本線","枚方市駅","7",3000,"大阪府",0,NA
"k262506","Lei can ting 大阪ルクア店","〒530-8217 大阪府大阪市北区梅田3-1-3 ルクア10F",34.703232,135.496106,"ＪＲ","大阪駅","3",2000,"大阪府",3,4
"kce6400","産直京野菜 中国菜飯 味らい 京橋","〒534-0025 大阪府大阪市都島区片町2-8-3",34.694077,135.527285,"ＪＲ東西線","大阪城北詰駅","1",2500,"大阪府",0,NA
"kd8m200","横浜家系ラーメン 憲兵家","〒565-0842 大阪府吹田市千里山東1-16-7",34.773501,135.506159,"阪急千里線","関大前駅","3",850,"大阪府",0,NA
"ka3t809","鶴橋らーめん食堂 鶴心 あびこ店","〒558-0011 大阪府大阪市住吉区苅田7-12-19",34.598382,135.512954,"地下鉄御堂筋線","あびこ駅","1",800,"大阪府",0,NA
"kd48800","らーめん キング","〒532-0011 大阪府大阪市淀川区西中島3-6-10",34.726632,135.501198,"阪急京都線","南方駅","4",1000,"大阪府",1,NA
"kd5s301","ストライク軒","〒530-0041 大阪府大阪市北区天神橋5-8-8",34.708175,135.511041,"阪急千里線","天神橋筋六丁目駅","1",1000,"大阪府",2,NA
"ka3t810","鶴橋らーめん食堂 鶴心 三井アウトレットパーク大阪鶴見店","〒538-0031 大阪府大阪市鶴見区茨田大宮2-7-70",34.711937,135.593281,"地下鉄長堀鶴見緑地線","門真南駅","8",800,"大阪府",0,NA
"kdc9003","大阪ふくちぁんラーメン 大東店","〒574-0025 大阪府大東市御供田4-154-1",34.702642,135.631448,"ＪＲ学研都市線","住道駅","15",950,"大阪府",0,NA
"kc91200","中国料理 晴華","〒540-0029 大阪府大阪市中央区本町橋6-21 ジャンボール内本町B1",34.683171,135.510709,"地下鉄堺筋線","堺筋本町駅","5",2000,"大阪府",0,NA
"k195068","中央軒 なんばCITY店","〒542-0076 大阪府大阪市中央区難波5-1-60 なんばCITY南館1F",34.663684,135.501868,"南海電鉄本線","なんば駅","1",1000,"大阪府",3,4
"ka7k718","野菜串巻き酒場 HARAIPPAI","〒530-0015 大阪府大阪市北区中崎西4-3-25",34.708886,135.501979,"地下鉄谷町線","中崎町駅","5",900,"大阪府",0,NA
"kd77000","Jungle Gorilla","〒571-0048 大阪府門真市新橋町8-31",34.737217,135.585632,"京阪本線","門真市駅","4",3000,"大阪府",0,NA
"kccg902","麺匠 大阪ラーメンしおじん 堺東店","〒590-0077 大阪府堺市堺区中瓦町2-1-8 B1",34.57484,135.483037,"南海高野線","堺東駅","2",950,"大阪府",0,NA
"c266707","麺匠 一本道","〒530-0002 大阪府大阪市北区曽根崎新地1-11-24 J-プライド北新地ビル1F",34.697926,135.499335,"ＪＲ東西線","北新地駅","2",850,"大阪府",1,NA
