"ID","Name","Address","Latitude","Longitude","Line","Station","Walk","Budget","Pref","ScoreN","Score"
"gf4z200","北京ダック食べ放題 本格中華 福招門 川口店","〒332-0017 埼玉県川口市栄町3-12-6 1F",35.80466,139.72015,"ＪＲ京浜東北線","川口駅","4",2000,"埼玉県",0,NA
"gfun200","寿製麺 よしかわ 川越店","〒350-1151 埼玉県川越市今福1738-14",35.876034,139.474454,"西武新宿線","南大塚駅","車10",1000,"埼玉県",0,NA
"gdv6148","ラーメン山岡家 鷲宮店","〒340-0206 埼玉県久喜市西大輪206-5",36.097471,139.674566,"ＪＲ宇都宮線","東鷲宮駅","14",800,"埼玉県",0,NA
"gfxv100","麺処 有彩","〒332-0021 埼玉県川口市西川口1-8-5",35.816038,139.703207,"ＪＲ京浜東北線","西川口駅","2",1000,"埼玉県",0,NA
"gdv6163","ラーメン山岡家 羽生店","〒348-0036 埼玉県羽生市砂山1393-1",36.150865,139.538717,"東武伊勢崎線","羽生駅","車8",800,"埼玉県",0,NA
"gdv6146","ラーメン山岡家 熊谷店","〒360-0841 埼玉県熊谷市新堀1029-2",36.180438,139.325669,"ＪＲ高崎線","籠原駅","11",800,"埼玉県",0,NA
"gdv6150","ラーメン山岡家 さいたま丸ヶ崎店","〒337-0001 埼玉県さいたま市見沼区丸ヶ崎1077-1",35.958419,139.656383,"ＪＲ宇都宮線","蓮田駅","車9",800,"埼玉県",3,3
"gdv6143","ラーメン山岡家 春日部店","〒344-0042 埼玉県春日部市増戸746-1",35.95501,139.726321,"東武野田線（東武アーバンパークライン）","豊春駅","車8",800,"埼玉県",1,4
"a625706","七匹の子ぶた さいたま新都心店","〒330-0843 埼玉県さいたま市大宮区吉敷町4-262-18 さいたま新都心駅東口ビル1F",35.894306,139.633814,"ＪＲ","さいたま新都心駅","1",1500,"埼玉県",1,4
"ggnp700","麺匠大悟","〒343-0845 埼玉県越谷市南越谷1-26-13",35.876581,139.791396,"ＪＲ武蔵野線","南越谷駅","2",1000,"埼玉県",0,NA
"gdv6149","ラーメン山岡家 さいたま宮前店","〒331-0046 埼玉県さいたま市西区宮前町733-1",35.924289,139.583433,"ＪＲ川越線","西大宮駅","8",800,"埼玉県",1,5
"gdv6151","ラーメン山岡家 越谷レイクタウン店","〒343-0825 埼玉県越谷市大成町3-233-1",35.884146,139.817202,"ＪＲ武蔵野線","越谷レイクタウン駅","18",800,"埼玉県",0,NA
"ggk3001","麺処景虎 produced by ほん田 新越谷ヴァリエ店","〒343-0845 埼玉県越谷市南越谷1-11-4 新越谷VARIE4F",35.87548,139.789819,"東武伊勢崎線（東武スカイツリーライン）","新越谷駅","1",900,"埼玉県",0,NA
"gex1600","本格中華居酒屋餃子坊","〒350-0214 埼玉県坂戸市千代田1-2-28",35.956301,139.400417,"東武東上線","坂戸駅","5",1500,"埼玉県",1,5
"ggpw600","華や","〒336-0929 埼玉県さいたま市緑区東浦和4-8-9",35.867057,139.702857,"ＪＲ武蔵野線","東浦和駅","5",1500,"埼玉県",0,NA
"gar8703","担々麺 侘寂美 WASABI","〒343-0845 埼玉県越谷市南越谷1-16-3 中央第12南越谷ビル1F",35.875147,139.791732,"ＪＲ武蔵野線","南越谷駅","3",1500,"埼玉県",0,NA
"gdv6147","ラーメン山岡家 上尾店","〒362-0001 埼玉県上尾市上字堤下291-1",35.994242,139.576424,"ＪＲ高崎線","上尾駅","35",800,"埼玉県",1,3
"b216813","香麦","〒350-0821 埼玉県川越市福田59-1",35.951902,139.473258,"ＪＲ川越線","川越駅","",3000,"埼玉県",0,NA
"gdv6166","ラーメン山岡家 鶴ヶ島店","〒350-2217 埼玉県鶴ケ島市大字三ツ木194-1",35.934191,139.390386,"東武越生線","一本松駅","29",800,"埼玉県",0,NA
"e378906","雲林坊 川口店","〒332-0017 埼玉県川口市栄町3-5-16",35.803871,139.718713,"ＪＲ京浜東北線","川口駅","4",1000,"埼玉県",0,NA
"gfwv800","らーめん こてつ","〒359-1111 埼玉県所沢市緑町2-1-14",35.804722,139.456933,"西武新宿線","新所沢駅","3",1000,"埼玉県",0,NA
"gdv6145","ラーメン山岡家 狭山店","〒350-1323 埼玉県狭山市鵜の木22-31",35.847425,139.391751,"西武池袋線","稲荷山公園駅","10",800,"埼玉県",0,NA
"gdv6160","ラーメン山岡家 川島店","〒350-0158 埼玉県比企郡川島町伊草300-1",35.968552,139.470143,"首都圏中央連絡自動車道","川島I.C.","車3",800,"埼玉県",0,NA
"7498513","マルキン本舗 新越谷店","〒343-0845 埼玉県越谷市南越谷1-17-9 ",35.874939,139.791483,"ＪＲ武蔵野線","南越谷駅","徒歩3",1000,"埼玉県",1,4
"7426716","横浜家系ラーメン 稲田家 深谷店","〒366-0051 埼玉県深谷市上柴町東4-16-3 ",36.181015,139.30186,"ＪＲ高崎線","深谷駅","車10",1000,"埼玉県",0,NA
"7431533","風風ラーメン 和光店","〒351-0114 埼玉県和光市本町6-5 ",35.788126,139.610696,"東武東上線","和光市駅","徒歩2",1200,"埼玉県",0,NA
"7711920","越後秘蔵麺 無尽蔵　レイクタウンKAZE店","〒343-0828 埼玉県越谷市レイクタウン4-2-2 イオンレイクタウンKAZE 3F",35.8778,139.824596,"JR","越谷レイクタウン駅","徒歩5",1000,"埼玉県",0,NA
