"ID","Name","Address","Latitude","Longitude","Line","Station","Walk","Budget","Pref","ScoreN","Score"
"e539604","居酒屋 龍記 京橋店","〒104-0031 東京都中央区京橋3-3-13 平和ビル3号館2F",35.675639,139.768106,"地下鉄有楽町線","銀座一丁目駅","3",3000,"東京都",0,NA
"gfeb600","本格上海料理 新錦江 上野御徒町本店","〒110-0005 東京都台東区上野5-15-17 ソルマーレビル",35.70516,139.775679,"地下鉄日比谷線","仲御徒町駅","1",2000,"東京都",2,4.5
"ggt5900","食べ飲み放題×中華ビストロ NOZOMI（のぞみ）","〒125-0041 東京都葛飾区東金町1-44-5 1F",35.770366,139.872101,"ＪＲ常磐線","金町駅","2",2980,"東京都",0,NA
"g181340","博多餃子軒 八王子店 タピオカ店 Bull Pulu（ブルプル）併設","〒192-0904 東京都八王子市子安町4-7-1 サザンスカイタワー八王寺3F",35.654648,139.337483,"ＪＲ","八王子駅","1",2000,"東京都",0,NA
"ggww100","まさ屋 渋谷店","〒150-0042 東京都渋谷区宇田川町11-1 松沼ビル2F",35.662647,139.697296,"地下鉄半蔵門線","渋谷駅","7",380,"東京都",0,NA
"gdzk500","完全個室 上海レストラン 檸檬 霞ヶ関ビル内店","〒100-0013 東京都千代田区霞が関3-2-5 霞が関ビル106",35.67144,139.747543,"地下鉄銀座線","虎ノ門駅","3",2980,"東京都",0,NA
"ga2g202","鶏そば きらり","〒176-0006 東京都練馬区栄町3-5 三木家ビル1F",35.737104,139.671286,"西武池袋線","江古田駅","2",850,"東京都",0,NA
"gg9m100","宴会個室×餃子酒場 北京飯店 秋葉原本店","〒101-0021 東京都千代田区外神田4-4-7 MTビルB1",35.701294,139.772105,"ＪＲ","秋葉原駅","4",2000,"東京都",3,3.33333333333333
"gdvk200","中国料理 宝龍","〒100-0006 東京都千代田区有楽町2-9-16",35.675093,139.763669,"ＪＲ","有楽町駅","1",1000,"東京都",2,2.5
"gggb200","中国料理 天安門","〒114-0002 東京都北区王子1-17-1",35.754986,139.73796,"地下鉄南北線","王子駅","2",2000,"東京都",0,NA
"a321508","麺達 うま家","〒169-0075 東京都新宿区高田馬場3-1-2 1F",35.714075,139.703884,"ＪＲ","高田馬場駅","1",800,"東京都",2,3
"ggwj600","中華食堂 一番館 大森駅前店","〒143-0016 東京都大田区大森北1-4-1 桂昇大森駅前ビルB1",35.588015,139.728667,"ＪＲ京浜東北線","大森駅","1",1000,"東京都",0,NA
"g314424","刀削麺・火鍋・西安料理 XI’AN（シーアン） 後楽園店","〒112-0002 東京都文京区小石川2-1-2 第11山京ビル1F",35.708717,139.751389,"地下鉄丸ノ内線","後楽園駅","1",3000,"東京都",1,NA
"a321510","吟風 赤羽店","〒115-0045 東京都北区赤羽2-4-11",35.779364,139.724357,"ＪＲ","赤羽駅","5",650,"東京都",0,NA
"a321507","吟太","〒144-0051 東京都大田区西蒲田7-1-8",35.563567,139.716061,"ＪＲ京浜東北線","蒲田駅","2",650,"東京都",0,NA
"p645304","からあげバル ハイカラ 新小岩店","〒124-0023 東京都葛飾区東新小岩1-2-14",35.718283,139.858241,"ＪＲ総武線","新小岩駅","1",3000,"東京都",0,NA
"gg5f414","旭川味噌ラーメン ばんから 上野店","〒110-0005 東京都台東区上野4-2-1",35.708035,139.773979,"ＪＲ","御徒町駅","1",1000,"東京都",0,NA
"a858210","ラーメン玉 赤備 アクアシティ お台場店","〒135-8707 東京都港区台場1-7-1 アクアシティお台場6F",35.627819,139.773568,"ゆりかもめ","台場駅","5",1000,"東京都",0,NA
