"ID","Name","Address","Latitude","Longitude","Line","Station","Walk","Budget","Pref","ScoreN","Score"
"kc8n400","京風中華厨房 上上","〒640-8108 和歌山県和歌山市雑賀町49-11",34.233132,135.176017,"南海本線","和歌山市駅","14",3000,"和歌山県",0,NA
"kcga100","可口楽","〒640-8331 和歌山県和歌山市美園町5-4-9 2F",34.229412,135.189875,"ＪＲ","和歌山駅","5",2500,"和歌山県",2,5
"7460332","Morning Glory","〒644-0002 和歌山県御坊市薗299-5 2F",33.892112,135.153216,"紀州鉄道線","市役所前駅","徒歩5",3000,"和歌山県",0,NA
"3107799","元車庫前丸宮","〒640-0014 和歌山県和歌山市毛見1130-3 ",34.166291,135.187452,"ＪＲ","和歌山駅","バス20",900,"和歌山県",4,3.875
"3107998","ラーメンまるイ","〒640-8392 和歌山県和歌山市中之島2323 いづみマンション1F",34.235738,135.185523,"JR阪和線","和歌山駅","徒歩10",750,"和歌山県",3,3.5
"3014238","山為食堂","〒640-8043 和歌山県和歌山市福町12 ",34.233277,135.171127,"南海本線","和歌山市駅","徒歩5",980,"和歌山県",2,3.25
"5066648","竹トンボ","〒649-5171 和歌山県東牟婁郡太地町太地2904-1 ",33.601844,135.944822,"ＪＲ紀勢本線","太地駅","バス10",750,"和歌山県",0,NA
"7658928","紀州麺処 誉","〒640-8042 和歌山県和歌山市西ノ店20 ",34.233733,135.171939,"南海加太線","和歌山市駅","徒歩9",1500,"和歌山県",0,NA
"7157037","和風らーめん みやま","〒648-0211 和歌山県伊都郡高野町高野山49番地 新中の橋会館2階",34.216192,135.604928,"南海高野線","高野山駅下車南海りんかんバス乗り継ぎ","徒歩2",800,"和歌山県",0,NA
"3006082","和歌山中華そば専門店　井出商店","〒640-8329 和歌山県和歌山市田中町4-84 ",34.22849,135.189506,"JR阪和線","和歌山駅","徒歩8",700,"和歌山県",9,3.33333333333333
"5408351","中華 レイメイ","〒647-1703 和歌山県田辺市本宮町請川302 ",NA,NA,"","","",1250,"和歌山県",0,NA
"3006081","まるやま中華そば","〒640-8265 和歌山県和歌山市小松原6-1-14 ",34.21597,135.169378,"南海本線","和歌山市駅","車10",700,"和歌山県",2,3.5
"3107797","マルキ中華そば","〒640-0000 和歌山県和歌山市和歌浦南1-1-3 ",34.188877,135.165742,"ＪＲ紀勢本線","紀三井寺駅","車10",700,"和歌山県",0,NA
"5408261","キャッスル","〒641-0002 和歌山県和歌山市新中島128-6 ",34.214574,135.195964,"JR紀勢本線（新宮-和歌山）","宮前駅","徒歩9",NA,"和歌山県",0,NA
"6426970","中華そば しま彰","〒640-0415 和歌山県紀の川市貴志川町長原102 ジョイフルサンマリノ",34.215632,135.298424,"わかやま電鉄貴志川線","甘露寺前駅","徒歩4",NA,"和歌山県",0,NA
"6544653","ふく龍 中華そば","〒649-7203 和歌山県橋本市高野口町名古曽281-2 ",34.30495,135.566573,"JR和歌山線","高野口駅","徒歩15",NA,"和歌山県",0,NA
"5508848","RAGUMAN かつらぎ店","〒649-7173 和歌山県伊都郡かつらぎ町大谷1169-6 ",34.293091,135.495905,"JR和歌山線","大谷（和歌山県）駅","徒歩9",NA,"和歌山県",0,NA
"6725216","和 dining 清乃","〒649-0314 和歌山県有田市野696 ",34.078607,135.130516,"JR紀勢本線（新宮-和歌山）","箕島駅","徒歩16",NA,"和歌山県",26,NA
