Zipcode,Pref
600000,北海道
640941,北海道
600041,北海道
600042,北海道
640820,北海道
600031,北海道
600001,北海道
640821,北海道
600032,北海道
600002,北海道
640822,北海道
600033,北海道
600003,北海道
640823,北海道
600034,北海道
600004,北海道
640824,北海道
600035,北海道
600005,北海道
640825,北海道
600006,北海道
640826,北海道
600007,北海道
600008,北海道
600009,北海道
600010,北海道
600011,北海道
600012,北海道
600013,北海道
600014,北海道
600015,北海道
600016,北海道
600017,北海道
600018,北海道
600020,北海道
600021,北海道
600022,北海道
640943,北海道
640931,北海道
640945,北海道
640942,北海道
640946,北海道
640944,北海道
600051,北海道
600061,北海道
640801,北海道
600052,北海道
600062,北海道
640802,北海道
600053,北海道
600063,北海道
640803,北海道
600054,北海道
640804,北海道
600055,北海道
640805,北海道
600056,北海道
640806,北海道
600057,北海道
640807,北海道
640808,北海道
640809,北海道
640810,北海道
640811,北海道
640912,北海道
640913,北海道
640914,北海道
640915,北海道
640916,北海道
640917,北海道
640918,北海道
640919,北海道
640920,北海道
640921,北海道
640922,北海道
640923,北海道
640924,北海道
640925,北海道
640926,北海道
640927,北海道
640928,北海道
640929,北海道
640930,北海道
640959,北海道
640958,北海道
640951,北海道
640952,北海道
640953,北海道
640954,北海道
10000,北海道
28071,北海道
28072,北海道
28073,北海道
28074,北海道
28075,北海道
10045,北海道
600806,北海道
600807,北海道
600808,北海道
600809,北海道
10010,北海道
600810,北海道
10011,北海道
600811,北海道
10012,北海道
600812,北海道
10013,北海道
600813,北海道
10014,北海道
600814,北海道
10015,北海道
600815,北海道
10016,北海道
600816,北海道
10017,北海道
600817,北海道
10018,北海道
600818,北海道
10019,北海道
600819,北海道
10020,北海道
600820,北海道
10021,北海道
10022,北海道
10023,北海道
10024,北海道
10025,北海道
10026,北海道
10027,北海道
10028,北海道
10029,北海道
10030,北海道
10031,北海道
10032,北海道
10033,北海道
10034,北海道
10035,北海道
10036,北海道
10037,北海道
10038,北海道
10039,北海道
10040,北海道
28021,北海道
28022,北海道
28023,北海道
28024,北海道
28025,北海道
28026,北海道
28027,北海道
28028,北海道
28029,北海道
28030,北海道
28052,北海道
28053,北海道
28051,北海道
28054,北海道
28055,北海道
10930,北海道
10921,北海道
10922,北海道
10923,北海道
10924,北海道
10925,北海道
10926,北海道
10927,北海道
10928,北海道
10931,北海道
10932,北海道
10933,北海道
10934,北海道
10935,北海道
10901,北海道
10902,北海道
10903,北海道
10904,北海道
10905,北海道
10906,北海道
10907,北海道
10908,北海道
10909,北海道
10910,北海道
10911,北海道
10912,北海道
10915,北海道
28001,北海道
28002,北海道
28003,北海道
28004,北海道
28005,北海道
28006,北海道
28007,北海道
28008,北海道
28009,北海道
28010,北海道
28011,北海道
28012,北海道
28061,北海道
28062,北海道
28063,北海道
28064,北海道
28065,北海道
28066,北海道
28067,北海道
28068,北海道
20851,北海道
20852,北海道
20853,北海道
20854,北海道
20855,北海道
20856,北海道
20857,北海道
20858,北海道
20859,北海道
20860,北海道
20861,北海道
20865,北海道
28038,北海道
28031,北海道
28032,北海道
28033,北海道
28034,北海道
28035,北海道
28036,北海道
28037,北海道
28043,北海道
28041,北海道
28042,北海道
28044,北海道
28045,北海道
28091,北海道
28081,北海道
28082,北海道
650000,北海道
70880,北海道
70881,北海道
70882,北海道
70883,北海道
70884,北海道
70885,北海道
70886,北海道
650004,北海道
600905,北海道
650005,北海道
600906,北海道
650006,北海道
600907,北海道
650007,北海道
600908,北海道
650008,北海道
600909,北海道
650009,北海道
650010,北海道
650011,北海道
650012,北海道
650013,北海道
650014,北海道
650015,北海道
650016,北海道
650017,北海道
650018,北海道
650019,北海道
650020,北海道
650021,北海道
650022,北海道
650023,北海道
650024,北海道
650025,北海道
650026,北海道
650027,北海道
650028,北海道
650030,北海道
650031,北海道
650032,北海道
650033,北海道
70834,北海道
70835,北海道
70836,北海道
70837,北海道
70838,北海道
70839,北海道
70840,北海道
70841,北海道
70842,北海道
70843,北海道
70844,北海道
70845,北海道
70846,北海道
70847,北海道
70848,北海道
70849,北海道
70850,北海道
70851,北海道
70852,北海道
650043,北海道
70001,北海道
70002,北海道
70003,北海道
70004,北海道
70005,北海道
70006,北海道
70890,北海道
70891,北海道
70892,北海道
70893,北海道
70894,北海道
70895,北海道
70821,北海道
70822,北海道
70823,北海道
70824,北海道
70825,北海道
70826,北海道
70827,北海道
70828,北海道
70829,北海道
70030,北海道
70031,北海道
70032,北海道
70033,北海道
70034,北海道
70820,北海道
70801,北海道
70802,北海道
70803,北海道
70804,北海道
