Country,Population,Area,GDP,PPP,GDP_per_capita,PPP_per_capita,G7,G20,OECD,HDI_2018,Polity_Score,Polity_Type,FH_PR,FH_CL,FH_Total,FH_Status,Continent
Afghanistan,38928346,652860,19101.35,82736.86,490.6797222,2125.36284,0,0,0,0.496,-1,Closed Anocracy,13,14,27,NF,Asia
Albania,2877797,27400,15278.08,39657.88,5308.949867,13780.63845,0,0,0,0.791,9,Democracy,27,40,67,PF,Europe
Algeria,43851044,2381740,169988.24,496572.4,3876.492427,11324.07247,0,0,0,0.759,2,Open Anocracy,10,24,34,NF,Africa
Andorra,77265,470,3154.06,,40821.32919,,0,0,0,0.857,,,39,55,94,F,Europe
Angola,32866272,1246700,94635.42,218533.34,2879.40841,6649.167268,0,0,0,0.574,-2,Closed Anocracy,11,21,32,NF,Africa
Antigua and Barbuda,97929,440,1727.76,2082.68,17642.98625,21267.24464,0,0,0,0.776,,,33,52,85,F,America
Argentina,45195774,2736690,449663.45,1036721.13,9949.236626,22938.45283,0,1,0,0.83,9,Democracy,35,50,85,F,America
Armenia,2963243,28470,13672.8,38445.96,4614.133907,12974.28527,0,0,0,0.76,7,Democracy,21,32,53,PF,Europe
Australia,25499884,7682300,1392680.59,1275026.6,54615.17354,50001.27059,0,1,1,0.938,10,Full Democracy,40,57,97,F,Oceania
Austria,9006398,82409,446314.74,502771.14,49555.29836,55823.7755,0,0,1,0.914,10,Full Democracy,37,56,93,F,Europe
Azerbaijan,10139177,82658,48047.65,144556.45,4738.811641,14257.21733,0,0,0,0.754,-7,Autocracy,2,8,10,NF,Europe
Bahamas,393244,10010,12827,14023.92,32618.4252,35662.13343,0,0,0,0.805,,,38,53,91,F,America
Bahrain,1701575,760,38574.07,74229.74,22669.62667,43624.13646,0,0,0,0.838,-10,Autocracy,1,10,11,NF,Asia
Bangladesh,164689383,130170,302571.25,734107.68,1837.223775,4457.528874,0,0,0,0.614,-6,Autocracy,15,24,39,PF,Asia
Barbados,287375,430,5209,4616.94,18126.1418,16065.90692,0,0,0,0.813,,,38,57,95,F,America
Belarus,9449323,202910,63080.46,183460.85,6675.659198,19415.23747,0,0,0,0.817,-7,Autocracy,5,14,19,NF,Europe
Belgium,11589623,30280,529606.71,597433.15,45696.62965,51548.97187,0,0,1,0.919,8,Democracy,39,57,96,F,Europe
Belize,397628,22810,1879.61,2819.41,4727.056445,7090.572093,0,0,0,0.72,,,35,51,86,F,America
Benin,12123200,112760,14390.71,37185.97,1187.038901,3067.339481,0,0,0,0.52,7,Democracy,21,45,66,PF,Africa
Bhutan,771608,38117,2446.67,8767.43,3170.871738,11362.54419,0,0,0,0.617,7,Democracy,29,30,59,PF,Asia
Bolivia,11673021,1083300,40895.32,100661.21,3503.404988,8623.406914,0,0,0,0.703,7,Democracy,25,38,63,PF,America
Bosnia and Herzegovina,3280819,51000,20047.85,49732.75,6110.623597,15158.63874,0,0,0,0.769,,,19,34,53,PF,Europe
Botswana,2351627,566730,18340.51,40708.02,7799.072727,17310.57689,0,0,0,0.728,8,Democracy,28,44,72,F,Africa
Brazil,212559417,8358140,1839758.04,3131944.31,8655.264801,14734.44157,0,1,0,0.761,8,Democracy,31,44,75,F,America
Brunei,437479,5270,13469.42,26535.57,30788.72357,60655.6429,0,0,0,0.845,,,7,21,28,NF,Asia
Bulgaria,6948445,108560,67927.18,156693.06,9775.88223,22550.80957,0,0,0,0.816,9,Democracy,34,46,80,F,Europe
Burkina Faso,20903273,273600,15745.81,37625.51,753.270074,1799.981754,0,0,0,0.434,6,Democracy,23,33,56,PF,Africa
Burma,54409800,653290,76085.85,268326.55,1398.385034,4931.584935,0,0,0,0.584,8,Democracy,14,16,30,NF,Asia
Burundi,11890784,25680,3012.33,8717.63,253.3331696,733.141734,0,0,0,0.423,-1,Closed Anocracy,3,10,13,NF,Africa
Cabo Verde,555987,4030,1981.85,3843.4,3564.561761,6912.751557,0,0,0,0.651,,,38,54,92,F,Africa
Cambodia,16718965,176520,27089.39,69253.36,1620.279126,4142.203779,0,0,0,0.581,-4,Closed Anocracy,5,20,25,NF,Asia
Cameroon,26545863,472710,38760.47,93081.44,1460.132225,3506.438649,0,0,0,0.563,-4,Closed Anocracy,7,11,18,NF,Africa
Canada,37742154,9093510,1736425.63,1852669.16,46007.5922,49087.53115,1,1,1,0.922,10,Full Democracy,40,58,98,F,America
Central African Republic,4829767,622980,2220.31,4460.31,459.7136881,923.5041773,0,0,0,0.381,6,Democracy,4,6,10,NF,Africa
Chad,16425864,1259200,11314.95,25057.44,688.8496094,1525.486878,0,0,0,0.401,-2,Closed Anocracy,3,14,17,NF,Africa
Chile,19116201,743532,282318.16,463790.23,14768.52854,24261.6318,0,0,1,0.847,10,Full Democracy,38,52,90,F,America
China,1447470092,9389291,14762791.84,21967627.68,10199.03065,15176.56759,0,1,0,0.758,-7,Autocracy,-1,11,10,NF,Asia
Colombia,50882891,1109500,323802.81,736510.9,6363.687354,14474.62763,0,0,1,0.761,7,Democracy,29,37,66,PF,America
Comoros,869601,1861,1185.73,2614.78,1363.533391,3006.873267,0,0,0,0.538,-3,Closed Anocracy,18,26,44,PF,Africa
Congo (Brazzaville),5518087,341500,10820.59,17608.49,1960.931388,3191.049724,0,0,0,0.609,-4,Closed Anocracy,2,18,20,NF,Africa
Congo (Kinshasa),89561403,2267050,47319.62,93456.93,528.3483556,1043.4956,0,0,0,0.459,-3,Closed Anocracy,4,14,18,NF,Africa
Costa Rica,5094118,51060,61773.94,98801.2,12126.52318,19395.15339,0,0,0,0.794,10,Full Democracy,38,53,91,F,America
Cote d'Ivoire,26378274,318000,58792.21,96068.56,2228.811862,3641.957772,0,0,0,0.516,4,Open Anocracy,19,32,51,PF,Africa
Croatia,4105267,55960,60415.55,114931.6,14716.59456,27996.13277,0,0,0,0.837,9,Democracy,36,49,85,F,Europe
Cuba,11326616,106440,100023,,8830.792886,,0,0,0,0.778,-5,Closed Anocracy,1,13,14,NF,America
Cyprus,1207359,9240,24564.65,34680.05,20345.77122,28723.8924,0,0,0,0.873,10,Full Democracy,38,56,94,F,Europe
Czechia,10708981,77240,246489.25,429753.88,23017.05923,40130.23088,0,0,1,0.891,9,Democracy,36,55,91,F,Europe
Denmark,5841065,43826,350911.02,331502.62,60076.54768,56753.79747,0,0,1,0.93,10,Full Democracy,40,57,97,F,Europe
Djibouti,988000,23180,3318.72,5010.34,3359.02834,5071.194332,0,0,0,0.495,3,Open Anocracy,5,19,24,NF,Africa
Dominica,71986,750,596.03,846.2,8279.804406,11755.06348,0,0,0,0.724,,,37,56,93,F,America
Dominican Republic,10847910,48320,88941.3,192810.94,8198.934173,17774.0173,0,0,0,0.745,7,Democracy,26,41,67,PF,America
Ecuador,17643054,248360,107435.66,202512.12,6089.402662,11478.29168,0,0,0,0.758,5,Open Anocracy,27,38,65,PF,America
Egypt,102334404,995450,303175.13,1145967.04,2962.592424,11198.25782,0,0,0,0.7,-4,Closed Anocracy,7,14,21,NF,Africa
El Salvador,6486205,20720,27022.64,56609.41,4166.171128,8727.662786,0,0,0,0.667,8,Democracy,32,34,66,PF,America
Equatorial Guinea,1402985,28050,11026.77,27299.7,7859.506695,19458.29784,0,0,0,0.588,-6,Autocracy,0,6,6,NF,Africa
Eritrea,3546421,101000,2065,6597.43,582.2771747,1860.306489,0,0,0,0.434,-7,Autocracy,1,1,2,NF,Africa
Estonia,1326535,42390,31386.95,48064.48,23660.85328,36233.10354,0,0,1,0.882,9,Democracy,38,56,94,F,Europe
Eswatini,1160164,17200,4405.41,10016.34,3797.230392,8633.555256,0,0,0,0.608,-9,Autocracy,1,18,19,NF,Africa
Ethiopia,114963588,1000000,96107.66,235309.04,835.9834768,2046.81364,0,0,0,0.47,1,Open Anocracy,10,14,24,NF,Africa
Fiji,896445,18270,5535.55,12496.36,6175.00237,13939.90708,0,0,0,0.724,4,Open Anocracy,24,36,60,PF,Oceania
Finland,5540720,303890,268761.2,273290.92,48506.54789,49324.08062,0,0,1,0.925,10,Full Democracy,40,60,100,F,Europe
France,68147691,657766,2721648.27,3110915.15,39937.49796,45649.60462,1,1,1,0.891,9,Democracy,38,52,90,F,Europe
Gabon,2225734,257670,16657.96,32006.42,7484.254632,14380.16403,0,0,0,0.702,3,Open Anocracy,3,19,22,NF,Africa
Gambia,2416668,10120,1763.82,5008.15,729.856149,2072.336788,0,0,0,0.466,4,Open Anocracy,20,26,46,PF,Africa
Georgia,3989167,69490,17743.2,54387.77,4447.845879,13633.86642,0,0,0,0.786,7,Democracy,24,37,61,PF,Europe
Germany,83783942,348560,3845630.03,4514794.31,45899.36852,53886.15291,1,1,1,0.939,10,Full Democracy,39,55,94,F,Europe
Ghana,31072940,227540,66983.63,158389.98,2155.690128,5097.360597,0,0,0,0.596,8,Democracy,35,47,82,F,Africa
Greece,10423054,128900,209852.76,325789.65,20133.51941,31256.64033,0,0,1,0.872,10,Full Democracy,37,51,88,F,Europe
Grenada,56770,410450,1228.17,1920.88,21634.13775,33836.18108,0,0,0,0.763,,,37,52,89,F,America
Guatemala,17915568,107160,76710.39,149287.01,4281.772702,8332.809208,0,0,0,0.651,8,Democracy,21,31,52,PF,America
Guinea,13132795,245720,13590.28,31729.85,1034.835311,2416.077461,0,0,0,0.466,4,Open Anocracy,15,25,40,PF,America
Guinea-Bissau,1968001,28120,1340.39,3742.36,681.0921336,1901.604725,0,0,0,0.461,6,Democracy,17,29,46,PF,Africa
Guyana,786552,196850,4280.44,7430.91,5442.030533,9447.44912,0,0,0,0.67,7,Democracy,31,43,74,F,America
