"ID","Team","Rank","Points","Prev_Points","Confederation"
1,"Afghanistan",149,1052,1052,"AFC"
2,"Albania",66,1356,1356,"UEFA"
3,"Algeria",35,1482,1482,"CAF"
4,"American Samoa",192,900,900,"OFC"
5,"Andorra",135,1082,1082,"UEFA"
6,"Angola",124,1136,1136,"CAF"
7,"Anguilla",210,821,821,"CONCACAF"
8,"Antigua and Barbuda",126,1127,1127,"CONCACAF"
9,"Argentina",9,1623,1623,"CONMEBOL"
10,"Armenia",102,1213,1213,"UEFA"
11,"Aruba",200,867,867,"CONCACAF"
12,"Australia",42,1457,1457,"AFC"
13,"Austria",26,1507,1507,"UEFA"
14,"Azerbaijan",114,1177,1177,"UEFA"
15,"Bahamas",195,880,880,"CONCACAF"
16,"Bahrain",99,1225,1225,"AFC"
17,"Bangladesh",187,914,914,"AFC"
18,"Barbados",162,1009,1009,"CONCACAF"
19,"Belarus",87,1283,1280,"UEFA"
20,"Belgium",1,1765,1765,"UEFA"
21,"Belize",170,974,974,"CONCACAF"
22,"Benin",84,1295,1295,"CAF"
23,"Bermuda",168,983,984,"CONCACAF"
24,"Bhutan",189,911,911,"AFC"
25,"Bolivia",75,1324,1324,"CONMEBOL"
26,"Bosnia and Herzegovina",49,1430,1430,"UEFA"
27,"Botswana",148,1055,1055,"CAF"
28,"Brazil",3,1712,1712,"CONMEBOL"
29,"British Virgin Islands",208,842,842,"CONCACAF"
30,"Brunei Darussalam",191,904,904,"AFC"
31,"Bulgaria",59,1381,1381,"UEFA"
32,"Burkina Faso",59,1381,1381,"CAF"
33,"Burundi",149,1052,1052,"CAF"
34,"Cabo Verde",78,1318,1318,"CAF"
35,"Cambodia",173,964,964,"AFC"
36,"Cameroon",53,1413,1413,"CAF"
37,"Canada",73,1332,1332,"CONCACAF"
38,"Cayman Islands",193,897,897,"CONCACAF"
39,"Central African Republic",109,1184,1184,"CAF"
40,"Chad",177,943,943,"CAF"
41,"Chile",17,1579,1579,"CONMEBOL"
42,"China PR",76,1323,1323,"AFC"
43,"Chinese Taipei",138,1078,1078,"AFC"
44,"Colombia",10,1622,1622,"CONMEBOL"
45,"Comoros",133,1088,1088,"CAF"
46,"Congo",89,1269,1269,"CAF"
47,"Congo DR",56,1389,1389,"CAF"
48,"Costa Rica",46,1439,1439,"CONCACAF"
49,"Côte d'Ivoire",61,1378,1378,"CAF"
50,"Croatia",6,1642,1642,"UEFA"
51,"Cuba",179,936,936,"CONCACAF"
52,"Curaçao",80,1313,1313,"CONCACAF"
53,"Cyprus",95,1251,1251,"UEFA"
54,"Czech Republic",45,1446,1446,"UEFA"
55,"Denmark",16,1598,1598,"UEFA"
56,"Djibouti",184,919,919,"CAF"
57,"Dominica",184,919,919,"CONCACAF"
58,"Dominican Republic",158,1019,1019,"CONCACAF"
59,"Ecuador",63,1368,1368,"CONMEBOL"
60,"Egypt",51,1420,1420,"CAF"
61,"El Salvador",69,1346,1346,"CONCACAF"
62,"England",4,1661,1661,"UEFA"
63,"Equatorial Guinea",145,1066,1066,"CAF"
64,"Eritrea",205,856,856,"CAF"
65,"Estonia",104,1202,1202,"UEFA"
66,"Eswatini",153,1042,1042,"CAF"
67,"Ethiopia",146,1061,1061,"CAF"
68,"Faroe Islands",110,1181,1181,"UEFA"
69,"Fiji",163,996,996,"OFC"
70,"Finland",58,1386,1386,"UEFA"
71,"France",2,1733,1733,"UEFA"
72,"Gabon",83,1297,1297,"CAF"
73,"Gambia",159,1015,1015,"CAF"
74,"Georgia",91,1267,1267,"UEFA"
75,"Germany",15,1602,1602,"UEFA"
76,"Ghana",46,1439,1439,"CAF"
77,"Gibraltar",196,879,879,"UEFA"
78,"Greece",54,1409,1409,"UEFA"
79,"Grenada",159,1015,1015,"CONCACAF"
80,"Guam",199,873,873,"AFC"
81,"Guatemala",130,1104,1106,"CONCACAF"
82,"Guinea",74,1328,1328,"CAF"
83,"Guinea-Bissau",118,1155,1155,"CAF"
84,"Guyana",166,988,988,"CONCACAF"
85,"Haiti",86,1285,1285,"CONCACAF"
86,"Honduras",62,1377,1377,"CONCACAF"
87,"Hong Kong",143,1072,1072,"AFC"
88,"Hungary",52,1416,1416,"UEFA"
89,"Iceland",39,1465,1465,"UEFA"
90,"India",108,1187,1187,"AFC"
91,"Indonesia",173,964,964,"AFC"
92,"IR Iran",33,1489,1489,"AFC"
93,"Iraq",70,1344,1344,"AFC"
94,"Israel",93,1260,1260,"UEFA"
95,"Italy",13,1607,1607,"UEFA"
96,"Jamaica",48,1438,1437,"CONCACAF"
97,"Japan",28,1500,1500,"AFC"
98,"Jordan",97,1238,1238,"AFC"
99,"Kazakhstan",118,1155,1155,"UEFA"
100,"Kenya",107,1199,1199,"CAF"
101,"Korea DPR",116,1170,1170,"AFC"
102,"Korea Republic",40,1464,1464,"AFC"
103,"Kosovo",115,1174,1174,"UEFA"
104,"Kuwait",147,1060,1060,"AFC"
105,"Kyrgyz Republic",96,1240,1240,"AFC"
106,"Laos",188,912,912,"AFC"
107,"Latvia",137,1079,1079,"UEFA"
108,"Lebanon",89,1269,1269,"AFC"
109,"Lesotho",139,1074,1074,"CAF"
110,"Liberia",152,1047,1047,"CAF"
111,"Libya",101,1215,1215,"CAF"
112,"Liechtenstein",180,926,926,"UEFA"
113,"Lithuania",131,1089,1089,"UEFA"
114,"Luxembourg",98,1236,1236,"UEFA"
115,"Macau",182,922,922,"AFC"
116,"Madagascar",91,1267,1267,"CAF"
117,"Malawi",123,1141,1141,"CAF"
118,"Malaysia",154,1040,1040,"AFC"
119,"Maldives",155,1038,1038,"AFC"
120,"Mali",56,1389,1389,"CAF"
121,"Malta",184,919,919,"UEFA"
122,"Mauritania",100,1223,1223,"CAF"
123,"Mauritius",172,965,965,"CAF"
124,"Mexico",11,1621,1621,"CONCACAF"
125,"Moldova",175,959,959,"UEFA"
126,"Mongolia",190,906,906,"AFC"
127,"Montenegro",64,1365,1365,"UEFA"
128,"Montserrat",183,921,921,"CONCACAF"
129,"Morocco",43,1456,1456,"CAF"
130,"Mozambique",106,1200,1200,"CAF"
131,"Myanmar",136,1081,1081,"AFC"
132,"Namibia",117,1160,1160,"CAF"
133,"Nepal",170,974,974,"AFC"
134,"Netherlands",14,1604,1604,"UEFA"
135,"New Caledonia",156,1035,1035,"OFC"
136,"New Zealand",122,1149,1149,"OFC"
137,"Nicaragua",151,1051,1050,"CONCACAF"
138,"Niger",112,1179,1179,"CAF"
139,"Nigeria",31,1493,1493,"CAF"
140,"North Macedonia",68,1347,1347,"UEFA"
141,"Northern Ireland",36,1476,1476,"UEFA"
142,"Norway",44,1451,1451,"UEFA"
143,"Oman",82,1303,1303,"AFC"
144,"Pakistan",200,867,867,"AFC"
145,"Palestine",103,1204,1204,"AFC"
146,"Panama",81,1305,1304,"CONCACAF"
147,"Papua New Guinea",165,991,991,"OFC"
148,"Paraguay",41,1461,1461,"CONMEBOL"
149,"Peru",21,1544,1544,"CONMEBOL"
150,"Philippines",124,1136,1136,"AFC"
151,"Poland",19,1559,1559,"UEFA"
152,"Portugal",7,1639,1639,"UEFA"
153,"Puerto Rico",178,941,941,"CONCACAF"
154,"Qatar",55,1396,1396,"AFC"
155,"Republic of Ireland",34,1486,1486,"UEFA"
156,"Romania",37,1475,1475,"UEFA"
157,"Russia",38,1470,1470,"UEFA"
158,"Rwanda",131,1089,1089,"CAF"
159,"Samoa",194,894,894,"OFC"
160,"San Marino",209,824,824,"UEFA"
161,"São Tomé and Príncipe",181,923,923,"CAF"
162,"Saudi Arabia",67,1351,1351,"AFC"
163,"Scotland",50,1422,1422,"UEFA"
164,"Senegal",20,1555,1555,"CAF"
165,"Serbia",29,1494,1494,"UEFA"
166,"Seychelles",202,866,866,"CAF"
167,"Sierra Leone",118,1155,1155,"CAF"
168,"Singapore",157,1020,1020,"AFC"
169,"Slovakia",32,1490,1490,"UEFA"
170,"Slovenia",64,1365,1365,"UEFA"
171,"Solomon Islands",141,1073,1073,"OFC"
172,"Somalia",196,879,879,"CAF"
173,"South Africa",71,1334,1334,"CAF"
174,"South Sudan",168,983,983,"CAF"
175,"Spain",8,1636,1636,"UEFA"
176,"Sri Lanka",206,853,853,"AFC"
177,"St. Kitts and Nevis",139,1074,1074,"CONCACAF"
178,"St. Lucia",176,953,953,"CONCACAF"
179,"St. Vincent and the Grenadines",167,986,986,"CONCACAF"
180,"Sudan",128,1112,1112,"CAF"
181,"Suriname",141,1073,1073,"CONCACAF"
182,"Sweden",17,1579,1579,"UEFA"
183,"Switzerland",12,1608,1608,"UEFA"
184,"Syria",79,1314,1314,"AFC"
185,"Tahiti",161,1014,1014,"OFC"
186,"Tajikistan",121,1152,1152,"AFC"
187,"Tanzania",134,1086,1086,"CAF"
188,"Thailand",113,1178,1178,"AFC"
189,"Timor-Leste",196,879,879,"AFC"
190,"Togo",126,1127,1127,"CAF"
191,"Tonga",203,862,862,"OFC"
192,"Trinidad and Tobago",105,1201,1201,"CONCACAF"
193,"Tunisia",27,1506,1506,"CAF"
194,"Turkey",29,1494,1494,"UEFA"
195,"Turkmenistan",129,1107,1107,"AFC"
196,"Turks and Caicos Islands",203,862,862,"CONCACAF"
197,"Uganda",77,1321,1321,"CAF"
198,"Ukraine",24,1537,1537,"UEFA"
199,"United Arab Emirates",71,1334,1334,"AFC"
200,"Uruguay",5,1645,1645,"CONMEBOL"
201,"US Virgin Islands",207,844,844,"CONCACAF"
202,"USA",22,1542,1542,"CONCACAF"
203,"Uzbekistan",85,1286,1289,"AFC"
204,"Vanuatu",163,996,996,"OFC"
205,"Venezuela",25,1517,1517,"CONMEBOL"
206,"Vietnam",94,1258,1258,"AFC"
207,"Wales",23,1540,1540,"UEFA"
208,"Yemen",144,1071,1071,"AFC"
209,"Zambia",88,1279,1279,"CAF"
210,"Zimbabwe",111,1180,1180,"CAF"
