Code,Name,Density
1,北海道,66.6
2,青森県,128.3
3,岩手県,79.2
4,宮城県,316.1
5,秋田県,82.4
6,山形県,114.6
7,福島県,133
8,茨城県,470.2
9,栃木県,301.7
10,群馬県,304.8
11,埼玉県,1934
12,千葉県,1218.5
13,東京都,6402.6
14,神奈川県,3823.2
15,新潟県,174.9
16,富山県,243.6
17,石川県,270.5
18,福井県,183
19,山梨県,181.4
20,長野県,151
21,岐阜県,186.3
22,静岡県,467.2
23,愛知県,1458
24,三重県,306.6
25,滋賀県,351.9
26,京都府,559
27,大阪府,4638.4
28,兵庫県,650.5
29,奈良県,358.8
30,和歌山県,195.3
31,鳥取県,157.8
32,島根県,100.1
33,岡山県,265.4
34,広島県,330.2
35,山口県,219.6
36,徳島県,173.5
37,香川県,506.3
38,愛媛県,235.2
39,高知県,97.3
40,福岡県,1029.8
41,佐賀県,332.5
42,長崎県,317.7
43,熊本県,234.6
44,大分県,177.2
45,宮崎県,138.3
46,鹿児島県,172.9
47,沖縄県,642.9
