Code,Name,Pop,Student
27000,大阪府,8839469,438901
27100,大阪市,2691185,104208
27102,大阪市 都島区,104727,3889
27103,大阪市 福島区,72484,2448
27104,大阪市 此花区,66656,2478
27106,大阪市 西区,92430,2633
27107,大阪市 港区,82035,3072
27108,大阪市 大正区,65141,2627
27109,大阪市 天王寺区,75729,3480
27111,大阪市 浪速区,69766,1409
27113,大阪市 西淀川区,95490,3936
27114,大阪市 東淀川区,175530,7165
27115,大阪市 東成区,80563,3242
27116,大阪市 生野区,130167,4863
27117,大阪市 旭区,91608,3850
27118,大阪市 城東区,164697,7159
27119,大阪市 阿倍野区,107626,5593
27120,大阪市 住吉区,154239,7106
27121,大阪市 東住吉区,126299,5748
27122,大阪市 西成区,111883,2568
27123,大阪市 淀川区,176201,5687
27124,大阪市 鶴見区,111557,5272
27125,大阪市 住之江区,122988,4907
27126,大阪市 平野区,196633,8684
27127,大阪市 北区,123667,3912
27128,大阪市 中央区,93069,2480
27140,堺市,839310,41439
27141,堺市 堺区,148205,6486
27142,堺市 中区,124543,6381
27143,堺市 東区,85189,4380
27144,堺市 西区,135746,6740
27145,堺市 南区,147626,7254
27146,堺市 北区,158845,8155
27147,堺市 美原区,39156,2043
27202,岸和田市,194911,10319
27203,豊中市,395479,21775
27204,池田市,103069,6257
27205,吹田市,374468,22669
27206,泉大津市,75897,4323
27207,高槻市,351829,18125
27208,貝塚市,88694,5017
27209,守口市,143042,6319
27210,枚方市,404152,22653
27211,茨木市,280033,16359
27212,八尾市,268800,13953
27213,泉佐野市,100966,5534
27214,富田林市,113984,7733
27215,寝屋川市,237518,11097
27216,河内長野市,106987,5881
27217,松原市,120750,6660
27218,大東市,123217,6756
27219,和泉市,186109,10983
27220,箕面市,133411,8933
27221,柏原市,71112,4483
27222,羽曳野市,112683,6605
27223,門真市,123576,5661
27224,摂津市,85007,4060
27225,高石市,56529,3159
27226,藤井寺市,65438,3636
27227,東大阪市,502784,25297
27228,泉南市,62438,3196
27229,四條畷市,56075,3233
27230,交野市,76435,4958
27231,大阪狭山市,57792,3592
27232,阪南市,54276,2926
27301,島本町,29983,1584
27321,豊能町,19934,1067
27322,能勢町,10256,521
27341,忠岡町,17298,927
27361,熊取町,44435,3254
27362,田尻町,8417,425
27366,岬町,15938,790
27381,太子町,13748,989
27382,河南町,16126,1306
27383,千早赤阪村,5378,239
