"ID","Name","Pref","Zipcode","Latitude","Longitude","Line","Station","Walk","Bus","Car","Budget","ScoreN","Score"
"e539604","居酒屋 龍記 京橋店","東京都",1040031,35.675639,139.768106,"地下鉄有楽町線","銀座一丁目駅",3,NA,NA,3000,0,NA
"gfeb600","本格上海料理 新錦江 上野御徒町本店","東京都",1100005,35.70516,139.775679,"地下鉄日比谷線","仲御徒町駅",1,NA,NA,2000,2,4.5
"ggt5900","食べ飲み放題×中華ビストロ NOZOMI（のぞみ）","東京都",1250041,35.770366,139.872101,"ＪＲ常磐線","金町駅",2,NA,NA,2980,0,NA
"g181340","博多餃子軒 八王子店 タピオカ店 Bull Pulu（ブルプル）併設","東京都",1920904,35.654648,139.337483,"ＪＲ","八王子駅",1,NA,NA,2000,0,NA
"ggww100","まさ屋 渋谷店","東京都",1500042,35.662647,139.697296,"地下鉄半蔵門線","渋谷駅",7,NA,NA,380,0,NA
"gdzk500","完全個室 上海レストラン 檸檬 霞ヶ関ビル内店","東京都",1000013,35.67144,139.747543,"地下鉄銀座線","虎ノ門駅",3,NA,NA,2980,0,NA
"ga2g202","鶏そば きらり","東京都",1760006,35.737104,139.671286,"西武池袋線","江古田駅",2,NA,NA,850,0,NA
"gg9m100","宴会個室×餃子酒場 北京飯店 秋葉原本店","東京都",1010021,35.701294,139.772105,"ＪＲ","秋葉原駅",4,NA,NA,2000,3,3.33333333333333
"gdvk200","中国料理 宝龍","東京都",1000006,35.675093,139.763669,"ＪＲ","有楽町駅",1,NA,NA,1000,2,2.5
"gggb200","中国料理 天安門","東京都",1140002,35.754986,139.73796,"地下鉄南北線","王子駅",2,NA,NA,2000,0,NA
"a321508","麺達 うま家","東京都",1690075,35.714075,139.703884,"ＪＲ","高田馬場駅",1,NA,NA,800,2,3
"ggwj600","中華食堂 一番館 大森駅前店","東京都",1430016,35.588015,139.728667,"ＪＲ京浜東北線","大森駅",1,NA,NA,1000,0,NA
"g314424","刀削麺・火鍋・西安料理 XI’AN（シーアン） 後楽園店","東京都",1120002,35.708717,139.751389,"地下鉄丸ノ内線","後楽園駅",1,NA,NA,3000,1,NA
"a321510","吟風 赤羽店","東京都",1150045,35.779364,139.724357,"ＪＲ","赤羽駅",5,NA,NA,650,0,NA
"a321507","吟太","東京都",1440051,35.563567,139.716061,"ＪＲ京浜東北線","蒲田駅",2,NA,NA,650,0,NA
"p645304","からあげバル ハイカラ 新小岩店","東京都",1240023,35.718283,139.858241,"ＪＲ総武線","新小岩駅",1,NA,NA,3000,0,NA
"gg5f414","旭川味噌ラーメン ばんから 上野店","東京都",1100005,35.708035,139.773979,"ＪＲ","御徒町駅",1,NA,NA,1000,0,NA
"a858210","ラーメン玉 赤備 アクアシティ お台場店","東京都",1358707,35.627819,139.773568,"ゆりかもめ","台場駅",5,NA,NA,1000,0,NA
"gffc200","七志らーめん 渋谷道玄坂店","東京都",1500043,35.658968,139.698107,"ＪＲ","渋谷駅",2,NA,NA,900,7,4.5
"b990000","永楽","東京都",1330051,35.740491,139.889241,"京成本線","京成小岩駅",6,NA,NA,980,6,4.41666666666667
"ge9n604","よってこや お台場店","東京都",1350091,35.629089,139.776013,"ゆりかもめ","お台場海浜公園駅",4,NA,NA,1000,1,4
"gfp1000","ラーメン武藤製麺所","東京都",1210813,35.795065,139.792057,"東武伊勢崎線（東武スカイツリーライン）","竹ノ塚駅",2,NA,NA,900,4,3.5
"gesm800","桂花ラーメン 新宿末広店","東京都",1600022,35.690843,139.706058,"都営新宿線","新宿三丁目駅",1,NA,NA,900,8,3
"gfrg800","八雲","東京都",1530043,35.650084,139.686864,"東急田園都市線","池尻大橋駅",4,NA,NA,900,0,NA
"e642000","北斗 新橋店","東京都",1050004,35.66544,139.757946,"ＪＲ","新橋駅",1,NA,NA,1000,4,2.5
"gesm802","桂花ラーメン 新宿ふぁんてん","東京都",1600022,35.693075,139.702214,"ＪＲ","新宿駅",1,NA,NA,900,9,3.16666666666667
"gesm801","桂花ラーメン 新宿東口駅前店","東京都",1600022,35.692754,139.701986,"ＪＲ","新宿駅",1,NA,NA,900,7,3.5
"ge48900","まさ吉","東京都",1520002,35.619646,139.701115,"東急目黒線","武蔵小山駅",4,NA,NA,4000,2,NA
